類別：所有類別

天,大中: (台灣)
2023-10-07,76
2023-10-08,80
2023-10-09,74
2023-10-10,82
2023-10-11,86
2023-10-12,84
2023-10-13,77
2023-10-14,67
2023-10-15,80
2023-10-16,86
2023-10-17,81
2023-10-18,91
2023-10-19,96
2023-10-20,100
2023-10-21,79
2023-10-22,62
2023-10-23,93
2023-10-24,83
2023-10-25,84
2023-10-26,83
2023-10-27,87
2023-10-28,67
2023-10-29,66
2023-10-30,0
2023-10-31,87
2023-11-01,81
2023-11-02,70
2023-11-03,85
