類別：所有類別

天,菱生: (台灣)
2023-10-05,0
2023-10-06,0
2023-10-07,11
2023-10-08,0
2023-10-09,0
2023-10-10,6
2023-10-11,0
2023-10-12,10
2023-10-13,7
2023-10-14,6
2023-10-15,0
2023-10-16,9
2023-10-17,21
2023-10-18,18
2023-10-19,23
2023-10-20,39
2023-10-21,27
2023-10-22,24
2023-10-23,100
2023-10-24,62
2023-10-25,42
2023-10-26,39
2023-10-27,41
2023-10-28,9
2023-10-29,12
2023-10-30,0
2023-10-31,28
2023-11-01,31
