類別：所有類別

天,宜特: (台灣)
2023-10-06,31
2023-10-07,33
2023-10-08,0
2023-10-09,0
2023-10-10,24
2023-10-11,100
2023-10-12,74
2023-10-13,48
2023-10-14,48
2023-10-15,0
2023-10-16,49
2023-10-17,30
2023-10-18,71
2023-10-19,65
2023-10-20,35
2023-10-21,37
2023-10-22,0
2023-10-23,59
2023-10-24,45
2023-10-25,0
2023-10-26,82
2023-10-27,27
2023-10-28,22
2023-10-29,30
2023-10-30,0
2023-10-31,31
2023-11-01,84
2023-11-02,89
