類別：所有類別

天,台航: (台灣)
2023-10-05,15
2023-10-06,80
2023-10-07,0
2023-10-08,31
2023-10-09,30
2023-10-10,0
2023-10-11,92
2023-10-12,77
2023-10-13,35
2023-10-14,0
2023-10-15,29
2023-10-16,67
2023-10-17,41
2023-10-18,100
2023-10-19,52
2023-10-20,70
2023-10-21,33
2023-10-22,0
2023-10-23,30
2023-10-24,63
2023-10-25,84
2023-10-26,48
2023-10-27,58
2023-10-28,21
2023-10-29,23
2023-10-30,0
2023-10-31,57
2023-11-01,0
