類別：所有類別

天,光罩: (台灣)
2023-10-05,38
2023-10-06,52
2023-10-07,15
2023-10-08,0
2023-10-09,0
2023-10-10,34
2023-10-11,100
2023-10-12,48
2023-10-13,64
2023-10-14,0
2023-10-15,22
2023-10-16,88
2023-10-17,90
2023-10-18,22
2023-10-19,49
2023-10-20,70
2023-10-21,54
2023-10-22,32
2023-10-23,72
2023-10-24,60
2023-10-25,41
2023-10-26,51
2023-10-27,57
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,52
2023-11-01,34
