類別：所有類別

天,廣達: (台灣)
2023-10-05,83
2023-10-06,89
2023-10-07,8
2023-10-08,17
2023-10-09,15
2023-10-10,15
2023-10-11,99
2023-10-12,92
2023-10-13,88
2023-10-14,22
2023-10-15,20
2023-10-16,94
2023-10-17,82
2023-10-18,84
2023-10-19,85
2023-10-20,82
2023-10-21,20
2023-10-22,12
2023-10-23,84
2023-10-24,71
2023-10-25,70
2023-10-26,83
2023-10-27,74
2023-10-28,6
2023-10-29,13
2023-10-30,0
2023-10-31,100
2023-11-01,79
