類別：所有類別

天,力新: (台灣)
2023-10-06,67
2023-10-07,37
2023-10-08,0
2023-10-09,71
2023-10-10,15
2023-10-11,100
2023-10-12,95
2023-10-13,97
2023-10-14,21
2023-10-15,19
2023-10-16,55
2023-10-17,97
2023-10-18,61
2023-10-19,49
2023-10-20,86
2023-10-21,57
2023-10-22,31
2023-10-23,82
2023-10-24,52
2023-10-25,62
2023-10-26,66
2023-10-27,58
2023-10-28,59
2023-10-29,58
2023-10-30,0
2023-10-31,87
2023-11-01,74
2023-11-02,43
