類別：所有類別

天,士紙: (台灣)
2023-10-05,51
2023-10-06,0
2023-10-07,17
2023-10-08,18
2023-10-09,17
2023-10-10,21
2023-10-11,100
2023-10-12,0
2023-10-13,24
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,44
2023-10-18,33
2023-10-19,21
2023-10-20,0
2023-10-21,18
2023-10-22,0
2023-10-23,26
2023-10-24,0
2023-10-25,0
2023-10-26,17
2023-10-27,20
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,23
2023-11-01,0
