類別：所有類別

天,國產: (台灣)
2023-10-05,74
2023-10-06,75
2023-10-07,68
2023-10-08,83
2023-10-09,100
2023-10-10,76
2023-10-11,65
2023-10-12,83
2023-10-13,77
2023-10-14,79
2023-10-15,78
2023-10-16,67
2023-10-17,90
2023-10-18,74
2023-10-19,85
2023-10-20,68
2023-10-21,63
2023-10-22,88
2023-10-23,72
2023-10-24,77
2023-10-25,85
2023-10-26,75
2023-10-27,78
2023-10-28,79
2023-10-29,72
2023-10-30,0
2023-10-31,73
2023-11-01,63
