類別：所有類別

天,智原: (台灣)
2023-10-05,59
2023-10-06,33
2023-10-07,14
2023-10-08,6
2023-10-09,0
2023-10-10,16
2023-10-11,82
2023-10-12,55
2023-10-13,35
2023-10-14,25
2023-10-15,27
2023-10-16,59
2023-10-17,45
2023-10-18,66
2023-10-19,76
2023-10-20,60
2023-10-21,11
2023-10-22,18
2023-10-23,65
2023-10-24,100
2023-10-25,88
2023-10-26,46
2023-10-27,67
2023-10-28,11
2023-10-29,12
2023-10-30,0
2023-10-31,69
2023-11-01,51
