類別：所有類別

天,長興: (台灣)
2023-10-05,53
2023-10-06,56
2023-10-07,66
2023-10-08,100
2023-10-09,33
2023-10-10,50
2023-10-11,54
2023-10-12,56
2023-10-13,50
2023-10-14,46
2023-10-15,38
2023-10-16,33
2023-10-17,30
2023-10-18,56
2023-10-19,87
2023-10-20,73
2023-10-21,32
2023-10-22,40
2023-10-23,37
2023-10-24,36
2023-10-25,51
2023-10-26,21
2023-10-27,46
2023-10-28,51
2023-10-29,30
2023-10-30,0
2023-10-31,59
2023-11-01,52
