類別：所有類別

天,威盛: (台灣)
2023-10-05,30
2023-10-06,28
2023-10-07,7
2023-10-08,25
2023-10-09,0
2023-10-10,14
2023-10-11,45
2023-10-12,69
2023-10-13,56
2023-10-14,7
2023-10-15,14
2023-10-16,45
2023-10-17,77
2023-10-18,100
2023-10-19,76
2023-10-20,56
2023-10-21,7
2023-10-22,10
2023-10-23,37
2023-10-24,39
2023-10-25,36
2023-10-26,41
2023-10-27,51
2023-10-28,13
2023-10-29,11
2023-10-30,0
2023-10-31,41
2023-11-01,25
