類別：所有類別

天,統一: (台灣)
2023-10-04,88
2023-10-05,100
2023-10-06,94
2023-10-07,77
2023-10-08,69
2023-10-09,67
2023-10-10,80
2023-10-11,83
2023-10-12,73
2023-10-13,71
2023-10-14,59
2023-10-15,60
2023-10-16,65
2023-10-17,64
2023-10-18,64
2023-10-19,60
2023-10-20,57
2023-10-21,48
2023-10-22,55
2023-10-23,60
2023-10-24,57
2023-10-25,59
2023-10-26,58
2023-10-27,54
2023-10-28,56
2023-10-29,60
2023-10-30,0
2023-10-31,58
