類別：所有類別

天,中電: (台灣)
2023-10-05,68
2023-10-06,62
2023-10-07,39
2023-10-08,23
2023-10-09,31
2023-10-10,30
2023-10-11,62
2023-10-12,70
2023-10-13,51
2023-10-14,55
2023-10-15,19
2023-10-16,67
2023-10-17,77
2023-10-18,69
2023-10-19,51
2023-10-20,69
2023-10-21,33
2023-10-22,29
2023-10-23,79
2023-10-24,76
2023-10-25,100
2023-10-26,58
2023-10-27,66
2023-10-28,36
2023-10-29,40
2023-10-30,0
2023-10-31,86
2023-11-01,78
