類別：所有類別

天,泰豐: (台灣)
2023-10-05,56
2023-10-06,83
2023-10-07,61
2023-10-08,39
2023-10-09,29
2023-10-10,43
2023-10-11,67
2023-10-12,84
2023-10-13,33
2023-10-14,50
2023-10-15,69
2023-10-16,89
2023-10-17,100
2023-10-18,76
2023-10-19,23
2023-10-20,35
2023-10-21,49
2023-10-22,61
2023-10-23,72
2023-10-24,46
2023-10-25,60
2023-10-26,73
2023-10-27,49
2023-10-28,48
2023-10-29,39
2023-10-30,0
2023-10-31,81
2023-11-01,70
