類別：所有類別

天,山富: (台灣)
2023-10-05,83
2023-10-06,67
2023-10-07,55
2023-10-08,64
2023-10-09,35
2023-10-10,57
2023-10-11,97
2023-10-12,77
2023-10-13,82
2023-10-14,28
2023-10-15,69
2023-10-16,86
2023-10-17,100
2023-10-18,84
2023-10-19,60
2023-10-20,67
2023-10-21,65
2023-10-22,57
2023-10-23,95
2023-10-24,91
2023-10-25,85
2023-10-26,61
2023-10-27,77
2023-10-28,25
2023-10-29,49
2023-10-30,0
2023-10-31,62
2023-11-01,87
