類別：所有類別

天,華興: (台灣)
2023-10-07,60
2023-10-08,59
2023-10-09,50
2023-10-10,70
2023-10-11,60
2023-10-12,74
2023-10-13,91
2023-10-14,70
2023-10-15,64
2023-10-16,64
2023-10-17,34
2023-10-18,89
2023-10-19,77
2023-10-20,39
2023-10-21,48
2023-10-22,68
2023-10-23,60
2023-10-24,43
2023-10-25,78
2023-10-26,100
2023-10-27,81
2023-10-28,94
2023-10-29,0
2023-10-30,0
2023-10-31,49
2023-11-01,69
2023-11-02,74
2023-11-03,52
