類別：所有類別

天,大同: (台灣)
2023-10-05,92
2023-10-06,97
2023-10-07,67
2023-10-08,64
2023-10-09,81
2023-10-10,72
2023-10-11,96
2023-10-12,93
2023-10-13,96
2023-10-14,86
2023-10-15,80
2023-10-16,86
2023-10-17,91
2023-10-18,98
2023-10-19,100
2023-10-20,90
2023-10-21,77
2023-10-22,74
2023-10-23,100
2023-10-24,91
2023-10-25,94
2023-10-26,93
2023-10-27,84
2023-10-28,82
2023-10-29,81
2023-10-30,0
2023-10-31,79
2023-11-01,93
