類別：所有類別

天,南帝: (台灣)
2023-10-05,0
2023-10-06,52
2023-10-07,47
2023-10-08,0
2023-10-09,0
2023-10-10,55
2023-10-11,58
2023-10-12,22
2023-10-13,34
2023-10-14,0
2023-10-15,48
2023-10-16,100
2023-10-17,32
2023-10-18,44
2023-10-19,87
2023-10-20,66
2023-10-21,26
2023-10-22,41
2023-10-23,58
2023-10-24,0
2023-10-25,23
2023-10-26,34
2023-10-27,58
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,28
2023-11-01,0
