類別：所有類別

天,彰銀: (台灣)
2023-10-05,71
2023-10-06,78
2023-10-07,29
2023-10-08,7
2023-10-09,22
2023-10-10,26
2023-10-11,69
2023-10-12,61
2023-10-13,46
2023-10-14,28
2023-10-15,40
2023-10-16,64
2023-10-17,41
2023-10-18,70
2023-10-19,72
2023-10-20,41
2023-10-21,10
2023-10-22,21
2023-10-23,61
2023-10-24,47
2023-10-25,67
2023-10-26,55
2023-10-27,54
2023-10-28,13
2023-10-29,24
2023-10-30,0
2023-10-31,41
2023-11-01,100
