類別：所有類別

天,誠品生活: (台灣)
2023-10-05,65
2023-10-06,49
2023-10-07,56
2023-10-08,57
2023-10-09,80
2023-10-10,65
2023-10-11,37
2023-10-12,32
2023-10-13,0
2023-10-14,20
2023-10-15,29
2023-10-16,53
2023-10-17,0
2023-10-18,31
2023-10-19,47
2023-10-20,92
2023-10-21,68
2023-10-22,52
2023-10-23,26
2023-10-24,49
2023-10-25,32
2023-10-26,97
2023-10-27,14
2023-10-28,100
2023-10-29,70
2023-10-30,0
2023-10-31,79
2023-11-01,0
