類別：所有類別

天,瑞基: (台灣)
2023-10-06,33
2023-10-07,0
2023-10-08,34
2023-10-09,61
2023-10-10,51
2023-10-11,27
2023-10-12,43
2023-10-13,19
2023-10-14,0
2023-10-15,0
2023-10-16,51
2023-10-17,55
2023-10-18,0
2023-10-19,41
2023-10-20,0
2023-10-21,0
2023-10-22,27
2023-10-23,39
2023-10-24,47
2023-10-25,0
2023-10-26,18
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,100
2023-11-01,0
2023-11-02,78
