類別：所有類別

天,君帆: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,50
2023-10-09,0
2023-10-10,59
2023-10-11,0
2023-10-12,0
2023-10-13,100
2023-10-14,0
2023-10-15,0
2023-10-16,51
2023-10-17,67
2023-10-18,0
2023-10-19,0
2023-10-20,72
2023-10-21,0
2023-10-22,0
2023-10-23,95
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,57
2023-10-28,0
2023-10-29,54
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,0
