類別：所有類別

天,台灣大: (台灣)
2023-10-05,98
2023-10-06,96
2023-10-07,80
2023-10-08,73
2023-10-09,81
2023-10-10,69
2023-10-11,86
2023-10-12,100
2023-10-13,92
2023-10-14,74
2023-10-15,85
2023-10-16,91
2023-10-17,85
2023-10-18,76
2023-10-19,77
2023-10-20,89
2023-10-21,78
2023-10-22,77
2023-10-23,80
2023-10-24,77
2023-10-25,80
2023-10-26,87
2023-10-27,80
2023-10-28,66
2023-10-29,84
2023-10-30,0
2023-10-31,85
2023-11-01,84
