類別：所有類別

天,福裕: (台灣)
2023-10-06,36
2023-10-07,0
2023-10-08,90
2023-10-09,49
2023-10-10,0
2023-10-11,61
2023-10-12,100
2023-10-13,52
2023-10-14,42
2023-10-15,0
2023-10-16,90
2023-10-17,62
2023-10-18,71
2023-10-19,53
2023-10-20,37
2023-10-21,68
2023-10-22,0
2023-10-23,66
2023-10-24,62
2023-10-25,0
2023-10-26,59
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,34
2023-11-01,42
2023-11-02,55
