類別：所有類別

天,展宇: (台灣)
2023-10-05,0
2023-10-06,99
2023-10-07,39
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,24
2023-10-15,0
2023-10-16,24
2023-10-17,25
2023-10-18,40
2023-10-19,51
2023-10-20,80
2023-10-21,100
2023-10-22,59
2023-10-23,96
2023-10-24,79
2023-10-25,39
2023-10-26,55
2023-10-27,83
2023-10-28,48
2023-10-29,0
2023-10-30,0
2023-10-31,20
2023-11-01,70
