類別：所有類別

天,聚亨: (台灣)
2023-10-05,68
2023-10-06,0
2023-10-07,40
2023-10-08,82
2023-10-09,0
2023-10-10,0
2023-10-11,100
2023-10-12,41
2023-10-13,81
2023-10-14,41
2023-10-15,0
2023-10-16,52
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,63
2023-10-25,58
2023-10-26,0
2023-10-27,50
2023-10-28,0
2023-10-29,56
2023-10-30,0
2023-10-31,0
2023-11-01,0
