類別：所有類別

天,建台: (台灣)
2023-10-04,48
2023-10-05,11
2023-10-06,53
2023-10-07,28
2023-10-08,0
2023-10-09,45
2023-10-10,28
2023-10-11,29
2023-10-12,46
2023-10-13,22
2023-10-14,31
2023-10-15,48
2023-10-16,41
2023-10-17,41
2023-10-18,50
2023-10-19,44
2023-10-20,48
2023-10-21,13
2023-10-22,31
2023-10-23,100
2023-10-24,42
2023-10-25,58
2023-10-26,67
2023-10-27,35
2023-10-28,0
2023-10-29,32
2023-10-30,0
2023-10-31,58
