類別：所有類別

天,傳奇: (台灣)
2023-10-06,71
2023-10-07,80
2023-10-08,93
2023-10-09,95
2023-10-10,91
2023-10-11,78
2023-10-12,64
2023-10-13,74
2023-10-14,87
2023-10-15,100
2023-10-16,66
2023-10-17,68
2023-10-18,64
2023-10-19,66
2023-10-20,79
2023-10-21,91
2023-10-22,89
2023-10-23,72
2023-10-24,72
2023-10-25,67
2023-10-26,68
2023-10-27,65
2023-10-28,99
2023-10-29,80
2023-10-30,0
2023-10-31,79
2023-11-01,73
2023-11-02,70
