類別：所有類別

天,大成鋼: (台灣)
2023-10-05,73
2023-10-06,87
2023-10-07,30
2023-10-08,0
2023-10-09,21
2023-10-10,0
2023-10-11,100
2023-10-12,53
2023-10-13,47
2023-10-14,0
2023-10-15,0
2023-10-16,83
2023-10-17,57
2023-10-18,86
2023-10-19,61
2023-10-20,70
2023-10-21,31
2023-10-22,22
2023-10-23,74
2023-10-24,48
2023-10-25,75
2023-10-26,26
2023-10-27,76
2023-10-28,21
2023-10-29,44
2023-10-30,0
2023-10-31,50
2023-11-01,55
