類別：所有類別

天,遠東新: (台灣)
2023-10-04,46
2023-10-05,25
2023-10-06,73
2023-10-07,0
2023-10-08,33
2023-10-09,29
2023-10-10,0
2023-10-11,65
2023-10-12,36
2023-10-13,83
2023-10-14,40
2023-10-15,0
2023-10-16,72
2023-10-17,66
2023-10-18,55
2023-10-19,94
2023-10-20,59
2023-10-21,81
2023-10-22,52
2023-10-23,54
2023-10-24,74
2023-10-25,100
2023-10-26,15
2023-10-27,70
2023-10-28,0
2023-10-29,43
2023-10-30,0
2023-10-31,59
