類別：所有類別

天,廣運: (台灣)
2023-10-07,14
2023-10-08,0
2023-10-09,0
2023-10-10,12
2023-10-11,98
2023-10-12,100
2023-10-13,55
2023-10-14,76
2023-10-15,14
2023-10-16,29
2023-10-17,97
2023-10-18,95
2023-10-19,80
2023-10-20,81
2023-10-21,13
2023-10-22,40
2023-10-23,60
2023-10-24,29
2023-10-25,61
2023-10-26,40
2023-10-27,62
2023-10-28,15
2023-10-29,0
2023-10-30,0
2023-10-31,59
2023-11-01,48
2023-11-02,46
2023-11-03,58
