類別：所有類別

天,台船: (台灣)
2023-10-05,63
2023-10-06,66
2023-10-07,26
2023-10-08,42
2023-10-09,23
2023-10-10,27
2023-10-11,75
2023-10-12,98
2023-10-13,62
2023-10-14,50
2023-10-15,12
2023-10-16,50
2023-10-17,74
2023-10-18,80
2023-10-19,100
2023-10-20,77
2023-10-21,46
2023-10-22,25
2023-10-23,45
2023-10-24,27
2023-10-25,51
2023-10-26,85
2023-10-27,72
2023-10-28,18
2023-10-29,49
2023-10-30,0
2023-10-31,54
2023-11-01,70
