類別：所有類別

天,東訊: (台灣)
2023-10-05,12
2023-10-06,30
2023-10-07,24
2023-10-08,70
2023-10-09,20
2023-10-10,9
2023-10-11,17
2023-10-12,0
2023-10-13,15
2023-10-14,0
2023-10-15,65
2023-10-16,34
2023-10-17,24
2023-10-18,25
2023-10-19,10
2023-10-20,32
2023-10-21,19
2023-10-22,52
2023-10-23,0
2023-10-24,8
2023-10-25,24
2023-10-26,25
2023-10-27,16
2023-10-28,0
2023-10-29,100
2023-10-30,0
2023-10-31,26
2023-11-01,31
