類別：所有類別

天,普萊德: (台灣)
2023-10-07,46
2023-10-08,78
2023-10-09,84
2023-10-10,61
2023-10-11,45
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,50
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,88
2023-10-20,0
2023-10-21,51
2023-10-22,0
2023-10-23,44
2023-10-24,35
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,96
2023-10-29,0
2023-10-30,0
2023-10-31,100
2023-11-01,0
2023-11-02,0
2023-11-03,0
