類別：所有類別

天,鼎新: (台灣)
2023-10-05,20
2023-10-06,14
2023-10-07,0
2023-10-08,40
2023-10-09,0
2023-10-10,20
2023-10-11,63
2023-10-12,32
2023-10-13,66
2023-10-14,48
2023-10-15,20
2023-10-16,39
2023-10-17,42
2023-10-18,26
2023-10-19,17
2023-10-20,69
2023-10-21,17
2023-10-22,36
2023-10-23,34
2023-10-24,47
2023-10-25,85
2023-10-26,47
2023-10-27,51
2023-10-28,30
2023-10-29,60
2023-10-30,0
2023-10-31,100
2023-11-01,0
