類別：所有類別

天,台塑: (台灣)
2023-10-04,29
2023-10-05,25
2023-10-06,30
2023-10-07,23
2023-10-08,22
2023-10-09,19
2023-10-10,20
2023-10-11,35
2023-10-12,36
2023-10-13,31
2023-10-14,18
2023-10-15,17
2023-10-16,31
2023-10-17,30
2023-10-18,31
2023-10-19,44
2023-10-20,100
2023-10-21,40
2023-10-22,25
2023-10-23,45
2023-10-24,37
2023-10-25,36
2023-10-26,35
2023-10-27,27
2023-10-28,20
2023-10-29,23
2023-10-30,0
2023-10-31,45
