類別：所有類別

天,中華電: (台灣)
2023-10-05,69
2023-10-06,87
2023-10-07,28
2023-10-08,0
2023-10-09,28
2023-10-10,41
2023-10-11,63
2023-10-12,73
2023-10-13,62
2023-10-14,43
2023-10-15,24
2023-10-16,82
2023-10-17,79
2023-10-18,45
2023-10-19,66
2023-10-20,65
2023-10-21,48
2023-10-22,21
2023-10-23,100
2023-10-24,85
2023-10-25,55
2023-10-26,92
2023-10-27,79
2023-10-28,14
2023-10-29,14
2023-10-30,0
2023-10-31,78
2023-11-01,59
