類別：所有類別

天,統一證: (台灣)
2023-10-05,76
2023-10-06,82
2023-10-07,0
2023-10-08,0
2023-10-09,49
2023-10-10,0
2023-10-11,25
2023-10-12,29
2023-10-13,55
2023-10-14,0
2023-10-15,0
2023-10-16,98
2023-10-17,24
2023-10-18,100
2023-10-19,36
2023-10-20,49
2023-10-21,0
2023-10-22,0
2023-10-23,25
2023-10-24,53
2023-10-25,0
2023-10-26,28
2023-10-27,0
2023-10-28,46
2023-10-29,0
2023-10-30,0
2023-10-31,24
2023-11-01,43
