類別：所有類別

天,飛宏: (台灣)
2023-10-05,22
2023-10-06,73
2023-10-07,0
2023-10-08,0
2023-10-09,23
2023-10-10,0
2023-10-11,52
2023-10-12,42
2023-10-13,31
2023-10-14,12
2023-10-15,21
2023-10-16,60
2023-10-17,65
2023-10-18,92
2023-10-19,59
2023-10-20,56
2023-10-21,0
2023-10-22,29
2023-10-23,64
2023-10-24,100
2023-10-25,52
2023-10-26,72
2023-10-27,58
2023-10-28,23
2023-10-29,25
2023-10-30,0
2023-10-31,69
2023-11-01,99
