類別：所有類別

天,介面: (台灣)
2023-10-06,56
2023-10-07,46
2023-10-08,47
2023-10-09,32
2023-10-10,48
2023-10-11,74
2023-10-12,76
2023-10-13,78
2023-10-14,64
2023-10-15,85
2023-10-16,63
2023-10-17,74
2023-10-18,58
2023-10-19,72
2023-10-20,77
2023-10-21,46
2023-10-22,51
2023-10-23,87
2023-10-24,91
2023-10-25,77
2023-10-26,100
2023-10-27,71
2023-10-28,72
2023-10-29,59
2023-10-30,0
2023-10-31,59
2023-11-01,87
2023-11-02,72
