類別：所有類別

天,科誠: (台灣)
2023-10-06,49
2023-10-07,42
2023-10-08,34
2023-10-09,87
2023-10-10,23
2023-10-11,29
2023-10-12,62
2023-10-13,51
2023-10-14,0
2023-10-15,34
2023-10-16,43
2023-10-17,68
2023-10-18,96
2023-10-19,67
2023-10-20,45
2023-10-21,58
2023-10-22,0
2023-10-23,23
2023-10-24,0
2023-10-25,100
2023-10-26,49
2023-10-27,63
2023-10-28,25
2023-10-29,41
2023-10-30,0
2023-10-31,0
2023-11-01,70
2023-11-02,43
