類別：所有類別

天,豐藝: (台灣)
2023-10-07,33
2023-10-08,0
2023-10-09,31
2023-10-10,0
2023-10-11,75
2023-10-12,50
2023-10-13,16
2023-10-14,20
2023-10-15,29
2023-10-16,30
2023-10-17,100
2023-10-18,30
2023-10-19,17
2023-10-20,45
2023-10-21,33
2023-10-22,0
2023-10-23,0
2023-10-24,18
2023-10-25,21
2023-10-26,67
2023-10-27,17
2023-10-28,24
2023-10-29,38
2023-10-30,0
2023-10-31,0
2023-11-01,30
2023-11-02,38
2023-11-03,0
