類別：所有類別

天,三商: (台灣)
2023-10-05,58
2023-10-06,87
2023-10-07,69
2023-10-08,57
2023-10-09,69
2023-10-10,64
2023-10-11,94
2023-10-12,93
2023-10-13,81
2023-10-14,65
2023-10-15,62
2023-10-16,91
2023-10-17,88
2023-10-18,92
2023-10-19,85
2023-10-20,87
2023-10-21,57
2023-10-22,81
2023-10-23,100
2023-10-24,96
2023-10-25,76
2023-10-26,86
2023-10-27,73
2023-10-28,71
2023-10-29,64
2023-10-30,0
2023-10-31,82
2023-11-01,85
