類別：所有類別

天,大傳: (台灣)
2023-10-07,82
2023-10-08,73
2023-10-09,84
2023-10-10,91
2023-10-11,100
2023-10-12,92
2023-10-13,82
2023-10-14,83
2023-10-15,83
2023-10-16,50
2023-10-17,72
2023-10-18,51
2023-10-19,68
2023-10-20,64
2023-10-21,74
2023-10-22,73
2023-10-23,71
2023-10-24,76
2023-10-25,64
2023-10-26,48
2023-10-27,62
2023-10-28,86
2023-10-29,89
2023-10-30,0
2023-10-31,54
2023-11-01,91
2023-11-02,74
2023-11-03,99
