類別：所有類別

天,中茂: (台灣)
2023-10-06,0
2023-10-07,21
2023-10-08,45
2023-10-09,12
2023-10-10,17
2023-10-11,27
2023-10-12,26
2023-10-13,15
2023-10-14,36
2023-10-15,25
2023-10-16,25
2023-10-17,16
2023-10-18,26
2023-10-19,80
2023-10-20,100
2023-10-21,83
2023-10-22,46
2023-10-23,33
2023-10-24,28
2023-10-25,33
2023-10-26,42
2023-10-27,62
2023-10-28,40
2023-10-29,42
2023-10-30,0
2023-10-31,46
2023-11-01,40
2023-11-02,32
