類別：所有類別

天,永大: (台灣)
2023-10-04,40
2023-10-05,69
2023-10-06,77
2023-10-07,50
2023-10-08,52
2023-10-09,47
2023-10-10,44
2023-10-11,48
2023-10-12,66
2023-10-13,76
2023-10-14,74
2023-10-15,57
2023-10-16,80
2023-10-17,63
2023-10-18,77
2023-10-19,74
2023-10-20,52
2023-10-21,50
2023-10-22,60
2023-10-23,79
2023-10-24,62
2023-10-25,75
2023-10-26,68
2023-10-27,87
2023-10-28,76
2023-10-29,55
2023-10-30,0
2023-10-31,100
