類別：所有類別

天,宏致: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,87
2023-10-11,0
2023-10-12,52
2023-10-13,44
2023-10-14,64
2023-10-15,84
2023-10-16,0
2023-10-17,100
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,75
2023-10-22,0
2023-10-23,37
2023-10-24,0
2023-10-25,0
2023-10-26,55
2023-10-27,0
2023-10-28,50
2023-10-29,36
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,0
