類別：所有類別

天,合晶: (台灣)
2023-10-07,0
2023-10-08,31
2023-10-09,0
2023-10-10,21
2023-10-11,60
2023-10-12,72
2023-10-13,55
2023-10-14,20
2023-10-15,16
2023-10-16,61
2023-10-17,42
2023-10-18,51
2023-10-19,69
2023-10-20,28
2023-10-21,0
2023-10-22,31
2023-10-23,62
2023-10-24,38
2023-10-25,38
2023-10-26,100
2023-10-27,24
2023-10-28,0
2023-10-29,50
2023-10-30,0
2023-10-31,63
2023-11-01,53
2023-11-02,76
2023-11-03,40
