類別：所有類別

天,台積電: (台灣)
2023-10-05,49
2023-10-06,51
2023-10-07,12
2023-10-08,15
2023-10-09,21
2023-10-10,21
2023-10-11,59
2023-10-12,57
2023-10-13,52
2023-10-14,42
2023-10-15,26
2023-10-16,62
2023-10-17,87
2023-10-18,78
2023-10-19,100
2023-10-20,65
2023-10-21,19
2023-10-22,18
2023-10-23,61
2023-10-24,58
2023-10-25,52
2023-10-26,71
2023-10-27,57
2023-10-28,18
2023-10-29,16
2023-10-30,0
2023-10-31,57
2023-11-01,57
