類別：所有類別

天,大立光: (台灣)
2023-10-05,76
2023-10-06,70
2023-10-07,14
2023-10-08,10
2023-10-09,17
2023-10-10,10
2023-10-11,70
2023-10-12,100
2023-10-13,92
2023-10-14,26
2023-10-15,18
2023-10-16,49
2023-10-17,55
2023-10-18,54
2023-10-19,49
2023-10-20,58
2023-10-21,16
2023-10-22,12
2023-10-23,67
2023-10-24,55
2023-10-25,50
2023-10-26,65
2023-10-27,65
2023-10-28,27
2023-10-29,22
2023-10-30,0
2023-10-31,78
2023-11-01,32
