類別：所有類別

天,聯華: (台灣)
2023-10-04,100
2023-10-05,83
2023-10-06,61
2023-10-07,27
2023-10-08,41
2023-10-09,35
2023-10-10,44
2023-10-11,65
2023-10-12,72
2023-10-13,76
2023-10-14,51
2023-10-15,46
2023-10-16,82
2023-10-17,97
2023-10-18,82
2023-10-19,55
2023-10-20,61
2023-10-21,37
2023-10-22,53
2023-10-23,81
2023-10-24,78
2023-10-25,89
2023-10-26,80
2023-10-27,87
2023-10-28,44
2023-10-29,25
2023-10-30,0
2023-10-31,61
