類別：所有類別

天,詩肯: (台灣)
2023-10-07,80
2023-10-08,83
2023-10-09,100
2023-10-10,34
2023-10-11,13
2023-10-12,52
2023-10-13,34
2023-10-14,74
2023-10-15,93
2023-10-16,68
2023-10-17,66
2023-10-18,36
2023-10-19,37
2023-10-20,42
2023-10-21,43
2023-10-22,52
2023-10-23,55
2023-10-24,62
2023-10-25,63
2023-10-26,48
2023-10-27,37
2023-10-28,60
2023-10-29,96
2023-10-30,0
2023-10-31,29
2023-11-01,47
2023-11-02,0
2023-11-03,43
