date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2007-01-02,4702,117,399,3.4,3.46,3.4,3.4,0.0,41,2007,0.0,0.45,6.1,20.74,0.431841322258984,0,0,
2007-01-03,4702,131,451,3.4,3.48,3.4,3.46,0.06,36,2007,0.0,0.46,6.1,21.106,0.4394620514753191,0,0,0.01764705882352943
2007-01-04,4702,114,390,3.46,3.48,3.4,3.41,-0.05,38,2007,0.0,0.45,6.1,20.801,0.4331114437950398,0,0,-0.01445086705202307
2007-01-05,4702,190,654,3.35,3.55,3.35,3.43,0.02,41,2007,0.0,0.45,6.1,20.923,0.4356516868671514,0,0,0.005865102639296193
2007-01-08,4702,85,283,3.3,3.38,3.27,3.27,-0.16,33,2007,0.0,0.43,6.1,19.947,0.4153297422902581,0,0,-0.04664723032069975
2007-01-09,4702,68,220,3.27,3.36,3.21,3.22,-0.05,24,2007,0.0,0.42,6.1,19.642,0.408979134609979,0,0,-0.015290519877675787
2007-01-10,4702,174,555,3.23,3.23,3.15,3.2,-0.02,23,2007,0.0,0.42,6.1,19.52,0.4064388915378673,0,0,-0.006211180124223607
2007-01-11,4702,358,1073,2.98,3.14,2.98,2.98,-0.22,56,2007,0.0,0.39,6.1,18.178,0.3784962177446389,0,0,-0.06875000000000006
2007-01-12,4702,146,443,3.09,3.15,2.98,3.15,0.17,29,2007,0.0,0.42,6.1,19.215,0.4000882838575881,0,0,0.057046979865771785
2007-01-15,4702,84,257,3.18,3.18,3.01,3.06,-0.09,17,2007,0.0,0.4,6.1,18.666,0.3886571900330856,0,0,-0.028571428571428525
2007-01-16,4702,193,582,3.06,3.1,3.0,3.0,-0.06,35,2007,0.0,0.4,6.1,18.3,0.3810364608167506,0,0,-0.01960784313725492
2007-01-17,4702,66,200,3.0,3.09,3.0,3.09,0.09,17,2007,0.0,0.41,6.1,18.849,0.3924675546412531,0,0,0.029999999999999954
2007-01-18,4702,51,156,3.06,3.11,3.05,3.11,0.02,9,2007,0.0,0.41,6.1,18.971,0.3950077977133648,0,0,0.00647249190938512
2007-01-19,4702,214,672,3.1,3.2,3.09,3.2,0.09,34,2007,0.0,0.42,6.1,19.52,0.4064388915378673,0,0,0.028938906752411675
2007-01-22,4702,184,598,3.29,3.29,3.16,3.21,0.01,36,2007,0.0,0.42,6.1,19.581,0.4077090130739231,0,0,0.0031249999999999334
2007-01-23,4702,214,687,3.13,3.27,3.13,3.22,0.01,25,2007,0.0,0.42,6.1,19.642,0.408979134609979,0,0,0.00311526479750786
2007-01-24,4702,119,383,3.22,3.26,3.18,3.25,0.03,35,2007,0.0,0.43,6.1,19.825,0.4127894992181465,0,0,0.009316770186335343
2007-01-25,4702,342,1126,3.18,3.35,3.18,3.34,0.09,57,2007,0.0,0.44,6.1,20.374,0.424220593042649,0,0,0.027692307692307648
2007-01-26,4702,102,339,3.38,3.38,3.28,3.34,0.0,18,2007,0.0,0.44,6.1,20.374,0.424220593042649,0,0,0.0
2007-01-29,4702,330,1094,3.29,3.38,3.29,3.37,0.03,56,2007,0.0,0.44,6.1,20.557,0.4280309576508165,0,0,0.008982035928143787
2007-01-30,4702,168,563,3.35,3.38,3.31,3.38,0.01,26,2007,0.0,0.45,6.1,20.618,0.4293010791868724,0,0,0.0029673590504450406
2007-01-31,4702,116,381,3.35,3.35,3.25,3.25,-0.13,15,2007,0.0,0.43,6.1,19.825,0.4127894992181465,0,0,-0.03846153846153843
2007-02-01,4702,101,330,3.25,3.29,3.25,3.25,0.0,8,2007,0.0,0.43,6.1,19.825,0.4127894992181465,0,0,0.0
2007-02-02,4702,363,1166,3.25,3.26,3.15,3.19,-0.06,46,2007,0.0,0.42,6.1,19.459,0.3922386772048433,0,0,-0.018461538461538477
2007-02-05,4702,88,282,3.19,3.28,3.15,3.17,-0.02,20,2007,0.0,0.42,6.1,19.337,0.3897795005452519,0,0,-0.006269592476489034
