date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2005-09-02,3214,5776997,144766064,25.1,25.5,24.7,24.7,0.0,1408,2005,411.67,3.53,0,0,0.0,0,0,
2005-09-05,3214,4411441,102990353,24.5,24.5,23.0,23.0,-1.7,1168,2005,383.33,3.29,0,0,0.0,0,0,-0.06882591093117406
2005-09-06,3214,6514800,149680854,23.0,23.5,22.4,23.4,0.4,1807,2005,390.0,3.34,0,0,0.0,0,0,0.017391304347826025
2005-09-07,3214,5535036,131346865,23.6,24.2,22.95,23.45,0.05,1640,2005,390.83,3.35,0,0,0.0,0,0,0.0021367521367521673
2005-09-08,3214,3878339,92952937,23.5,24.2,23.5,24.0,0.55,1052,2005,400.0,3.43,0,0,0.0,0,0,0.023454157782516024
2005-09-09,3214,2065242,48805085,24.0,24.05,23.3,23.3,-0.7,594,2005,388.33,3.33,0,0,0.0,0,0,-0.029166666666666636
2005-09-12,3214,4892284,117147131,23.8,24.35,23.55,24.0,0.7,1152,2005,400.0,3.43,0,0,0.0,0,0,0.03004291845493559
2005-09-13,3214,11131326,276650011,24.2,25.4,24.0,24.5,0.5,2758,2005,408.33,3.5,0,0,0.0,0,0,0.020833333333333332
2005-09-14,3214,4193258,102959890,24.5,24.75,24.2,24.7,0.2,1346,2005,411.67,3.53,0,0,0.0,0,0,0.00816326530612242
2005-09-15,3214,2382921,58405897,24.7,24.8,24.3,24.35,-0.35,723,2005,405.83,3.48,0,0,0.0,0,0,-0.014170040485829873
2005-09-16,3214,4398422,107764218,24.35,24.85,24.25,24.3,-0.05,1259,2005,405.0,3.47,0,0,0.0,0,0,-0.002053388090349105
2005-09-19,3214,4282192,99178239,24.3,24.45,22.6,22.6,-1.7,1292,2005,376.67,3.23,0,0,0.0,0,0,-0.06995884773662549
