date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2007-01-02,6113,254,2180,8.8,8.85,8.45,8.55,-0.37,78,2007,0.0,0.66,5.93,50.7015,0.2102866532894578,0,0,
2007-01-03,6113,307,2607,8.5,8.68,8.4,8.57,0.02,80,2007,0.0,0.66,5.93,50.8201,0.2107785518936437,0,0,0.0023391812865496573
2007-01-04,6113,126,1070,8.5,8.55,8.45,8.45,-0.12,51,2007,0.0,0.66,5.93,50.10849999999999,0.2078271602685285,0,0,-0.014002333722287163
2007-01-05,6113,158,1341,8.69,8.69,8.42,8.55,0.1,54,2007,0.0,0.66,5.93,50.7015,0.2102866532894578,0,0,0.011834319526627389
2007-01-08,6113,148,1277,8.55,8.72,8.52,8.52,-0.03,52,2007,0.0,0.66,5.93,50.5236,0.209548805383179,0,0,-0.003508771929824694
2007-01-09,6113,112,956,8.5,8.64,8.5,8.51,-0.01,47,2007,0.0,0.66,5.93,50.4643,0.2093028560810861,0,0,-0.0011737089201877685
2007-01-10,6113,86,723,8.51,8.57,8.02,8.5,-0.01,38,2007,0.0,0.66,5.93,50.405,0.2090569067789932,0,0,-0.0011750881316098458
2007-01-11,6113,145,1196,8.57,8.57,8.1,8.16,-0.34,36,2007,0.0,0.63,5.93,48.3888,0.2006946305078334,0,0,-0.03999999999999998
2007-01-12,6113,88,703,8.2,8.2,7.67,8.03,-0.13,37,2007,0.0,0.62,5.93,47.61789999999999,0.1974972895806253,0,0,-0.015931372549019704
2007-01-15,6113,77,608,8.01,8.01,7.87,7.87,-0.16,33,2007,0.0,0.61,5.93,46.6691,0.1935621007471384,0,0,-0.01992528019925271
2007-01-16,6113,49,380,7.81,8.11,7.68,7.68,-0.19,19,2007,0.0,0.6,5.93,45.5424,0.1888890640073726,0,0,-0.024142312579415553
2007-01-17,6113,46,356,7.68,7.8,7.68,7.75,0.07,21,2007,0.0,0.6,5.93,45.9575,0.1906107091220232,0,0,0.00911458333333337
2007-01-18,6113,74,594,8.0,8.2,7.81,7.81,0.06,33,2007,0.0,0.61,5.93,46.3133,0.1920864049345808,0,0,0.007741935483870917
2007-01-19,6113,50,395,7.9,7.99,7.7,7.76,-0.05,32,2007,0.0,0.6,5.93,46.0168,0.1908566584241161,0,0,-0.0064020486555697595
2007-01-22,6113,70,538,7.76,7.76,7.6,7.76,0.0,29,2007,0.0,0.6,5.93,46.0168,0.1908566584241161,0,0,0.0
2007-01-23,6113,138,1074,7.84,7.85,7.8,7.8,0.04,9,2007,0.0,0.61,5.93,46.254,0.1918404556324878,0,0,0.005154639175257737
2007-01-24,6113,63,483,7.93,7.93,7.5,7.6,-0.2,28,2007,0.0,0.59,5.93,45.068,0.1869214695906292,0,0,-0.025641025641025664
2007-01-25,6113,558,4505,7.5,8.13,7.5,8.13,0.53,129,2007,0.0,0.63,5.93,48.2109,0.1999567826015546,0,0,0.0697368421052633
2007-01-26,6113,205,1698,8.4,8.4,8.15,8.2,0.07,76,2007,0.0,0.64,5.93,48.62599999999999,0.2016784277162051,0,0,0.008610086100860824
2007-01-29,6113,70,546,7.75,8.2,7.63,7.92,-0.28,37,2007,0.0,0.61,5.93,46.9656,0.194791847257603,0,0,-0.03414634146341456
2007-01-30,6113,120,923,7.52,7.83,7.52,7.7,-0.22,32,2007,0.0,0.6,5.93,45.661,0.1893809626115585,0,0,-0.027777777777777745
2007-01-31,6113,84,638,7.54,7.62,7.52,7.59,-0.11,24,2007,0.0,0.59,5.93,45.0087,0.1866755202885362,0,0,-0.014285714285714327
2007-02-01,6113,71,540,7.52,7.72,7.52,7.7,0.11,30,2007,0.0,0.6,5.93,45.661,0.1893809626115585,0,0,0.014492753623188448
2007-02-02,6113,94,712,7.71,7.71,7.52,7.57,-0.13,22,2007,0.0,0.59,5.93,44.8901,0.1936293539548782,0,0,-0.016883116883116868
2007-02-05,6113,13,96,7.57,7.7,7.53,7.7,0.13,7,2007,0.0,0.6,5.93,45.661,0.196954560825966,0,0,0.017173051519154544
2007-02-06,6113,19,147,7.54,7.77,7.54,7.7,0.0,13,2007,0.0,0.6,5.93,45.661,0.196954560825966,0,0,0.0
2007-02-07,6113,36,275,7.75,7.8,7.69,7.79,0.09,14,2007,0.0,0.6,5.93,46.1947,0.1992566271213344,0,0,0.01168831168831167
2007-02-08,6113,36,276,7.77,7.77,7.63,7.63,-0.16,17,2007,0.0,0.59,5.93,45.2459,0.1951640648184572,0,0,-0.02053915275994867
2007-02-09,6113,33,251,7.55,7.7,7.55,7.7,0.07,28,2007,0.0,0.6,5.93,45.661,0.196954560825966,0,0,0.009174311926605542
2007-02-12,6113,75,575,7.95,7.95,7.61,7.61,-0.09,15,2007,0.0,0.59,5.93,45.1273,0.1946524945305976,0,0,-0.01168831168831167
2007-02-13,6113,32,249,7.7,7.99,7.69,7.8,0.19,17,2007,0.0,0.61,5.93,46.254,0.1995124122652642,0,0,0.02496714848883042
2007-02-14,6113,3,24,7.85,7.85,7.85,7.85,0.05,3,2007,0.0,0.61,5.93,46.55049999999999,0.2007913379849134,0,0,0.0064102564102563875
2007-02-26,6113,32,245,7.85,7.85,7.61,7.66,-0.19,12,2007,0.0,0.59,5.93,45.4238,0.1959314202502467,0,0,-0.024203821656050895
2007-02-27,6113,82,623,7.6,7.7,7.56,7.7,0.04,25,2007,0.0,0.6,5.93,45.661,0.196954560825966,0,0,0.005221932114882511
2007-03-01,6113,10,76,7.6,7.65,7.6,7.6,-0.1,5,2007,0.0,0.59,5.93,45.068,0.1943967093866677,0,0,-0.012987012987013056
2007-03-02,6113,64,487,7.53,7.65,7.52,7.52,-0.08,27,2007,0.0,0.58,5.93,44.5936,0.1988328708096423,0,0,-0.010526315789473694
2007-03-05,6113,63,454,7.52,7.52,7.0,7.34,-0.18,25,2007,0.0,0.57,5.93,43.5262,0.1940735733700498,0,0,-0.023936170212765923
2007-03-06,6113,25,179,7.29,7.29,6.87,7.1,-0.24,17,2007,0.0,0.55,5.93,42.103,0.1877278434505931,0,0,-0.03269754768392374
2007-03-07,6113,45,315,7.05,7.07,6.9,7.07,-0.03,14,2007,0.0,0.55,5.93,41.9251,0.1869346272106611,0,0,-0.004225352112675967
2007-03-08,6113,137,972,6.81,7.26,6.81,7.06,-0.01,25,2007,0.0,0.55,5.93,41.86579999999999,0.1866702217973503,0,0,-0.0014144271570015099
2007-03-09,6113,63,444,7.1,7.24,7.07,7.1,0.04,17,2007,0.0,0.55,5.93,42.103,0.1877278434505931,0,0,0.005665722379603405
2007-03-12,6113,94,667,7.05,7.14,7.05,7.14,0.04,17,2007,0.0,0.55,5.93,42.3402,0.1887854651038359,0,0,0.005633802816901414
2007-03-13,6113,13,92,7.04,7.13,7.04,7.06,-0.08,9,2007,0.0,0.55,5.93,41.86579999999999,0.1866702217973503,0,0,-0.011204481792717097
2007-03-14,6113,10,68,6.91,7.06,6.91,7.06,0.0,9,2007,0.0,0.55,5.93,41.86579999999999,0.1866702217973503,0,0,0.0
2007-03-15,6113,32,236,7.06,7.54,7.06,7.26,0.2,21,2007,0.0,0.56,5.93,43.0518,0.1919583300635643,0,0,0.028328611898017025
2007-03-16,6113,193,1398,7.38,7.38,7.2,7.24,-0.02,26,2007,0.0,0.56,5.93,42.9332,0.1914295192369429,0,0,-0.00275482093663906
2007-03-19,6113,27,196,7.48,7.48,7.22,7.27,0.03,18,2007,0.0,0.56,5.93,43.11109999999999,0.192222735476875,0,0,0.00414364640883969
2007-03-20,6113,75,546,7.28,7.3,7.26,7.3,0.03,12,2007,0.0,0.57,5.93,43.289,0.193015951716807,0,0,0.00412654745529577
2007-03-21,6113,333,2598,7.45,7.81,7.45,7.81,0.51,106,2007,0.0,0.61,5.93,46.3133,0.2065006277956525,0,0,0.06986301369863011
2007-03-22,6113,978,8095,8.35,8.35,7.9,7.9,0.09,232,2007,0.0,0.61,5.93,46.847,0.2088802765154487,0,0,0.011523687580025704
2007-03-23,6113,227,1714,7.5,7.72,7.5,7.6,-0.3,88,2007,0.0,0.59,5.93,45.068,0.2009481141161279,0,0,-0.03797468354430389
2007-03-26,6113,121,865,7.07,7.42,7.07,7.28,-0.32,57,2007,0.0,0.56,5.93,43.1704,0.1924871408901857,0,0,-0.04210526315789466
2007-03-27,6113,43,317,7.28,7.35,7.28,7.34,0.06,27,2007,0.0,0.57,5.93,43.5262,0.1940735733700498,0,0,0.008241758241758188
2007-03-28,6113,81,604,7.35,7.58,7.35,7.57,0.23,37,2007,0.0,0.59,5.93,44.8901,0.2001548978761958,0,0,0.03133514986376028
2007-03-29,6113,49,376,7.57,7.78,7.48,7.48,-0.09,24,2007,0.0,0.58,5.93,44.3564,0.1977752491563996,0,0,-0.011889035667106982
2007-03-30,6113,152,1133,7.6,7.67,7.34,7.43,-0.05,49,2007,0.0,0.58,5.93,44.0599,0.1964532220898461,0,0,-0.00668449197860972
2007-04-02,6113,246,1916,7.43,7.95,7.43,7.95,0.52,88,2007,0.0,0.62,5.93,47.1435,0.2167692650071913,0,0,0.06998654104979818
2007-04-03,6113,1093,9227,8.5,8.5,8.23,8.35,0.4,255,2007,0.0,0.65,5.93,49.5155,0.2276758946930877,0,0,0.050314465408804965
2007-04-04,6113,852,7019,8.5,8.5,8.0,8.2,-0.15,103,2007,0.0,0.64,5.93,48.62599999999999,0.2235859085608766,0,0,-0.01796407185628747
2007-04-09,6113,314,2554,8.19,8.3,8.08,8.3,0.1,49,2007,0.0,0.64,5.93,49.219,0.2263125659823507,0,0,0.012195121951219686
2007-04-10,6113,173,1450,8.35,8.55,8.15,8.38,0.08,60,2007,0.0,0.65,5.93,49.6934,0.22849389191953,0,0,0.009638554216867478
2007-04-11,6113,93,768,8.38,8.38,8.2,8.21,-0.17,42,2007,0.0,0.64,5.93,48.685300000000005,0.223858574303024,0,0,-0.02028639618138424
2007-04-12,6113,648,5680,8.29,8.78,8.29,8.78,0.57,146,2007,0.0,0.68,5.93,52.0654,0.2394005216054264,0,0,0.06942752740560273
2007-04-13,6113,822,7333,8.78,9.29,8.5,8.8,0.02,192,2007,0.0,0.68,5.93,52.184000000000005,0.2399458530897213,0,0,0.002277904328018377
2007-04-16,6113,299,2695,9.0,9.25,8.81,8.9,0.09,102,2007,0.0,0.69,5.93,52.777,0.2426725105111954,0,0,0.011363636363636322
2007-04-17,6113,246,2110,8.9,9.0,8.28,8.5,-0.4,83,2007,0.0,0.66,5.93,50.405,0.2317658808252989,0,0,-0.04494382022471914
2007-04-18,6113,117,961,8.28,8.41,8.11,8.2,-0.3,55,2007,0.0,0.64,5.93,48.62599999999999,0.2235859085608766,0,0,-0.035294117647058906
2007-04-19,6113,133,1095,8.5,8.5,8.1,8.5,0.3,61,2007,0.0,0.66,5.93,50.405,0.2317658808252989,0,0,0.036585365853658625
2007-04-20,6113,753,6740,8.5,9.09,8.5,8.93,0.43,194,2007,0.0,0.69,5.93,52.9549,0.2434905077376375,0,0,0.050588235294117614
2007-04-23,6113,386,3427,8.7,9.1,8.7,8.7,-0.23,107,2007,0.0,0.67,5.93,51.591,0.2372191956682471,0,0,-0.02575587905935055
2007-04-24,6113,171,1486,8.6,8.85,8.6,8.61,-0.09,58,2007,0.0,0.67,5.93,51.05729999999999,0.2347652039889204,0,0,-0.01034482758620688
2007-04-25,6113,130,1107,8.61,8.72,8.4,8.4,-0.21,51,2007,0.0,0.65,5.93,49.812,0.2290392234038248,0,0,-0.024390243902438918
2007-04-26,6113,170,1454,8.7,8.7,8.43,8.54,0.14,58,2007,0.0,0.66,5.93,50.6422,0.2328565437938886,0,0,0.01666666666666652
2007-04-27,6113,375,3149,8.5,8.5,8.33,8.41,-0.13,55,2007,0.0,0.65,5.93,49.8713,0.2293118891459722,0,0,-0.015222482435597075
2007-04-30,6113,268,2113,8.0,8.12,7.83,7.83,-0.58,65,2007,0.0,0.61,5.93,46.4319,0.2134972761014224,0,0,-0.06896551724137932
2007-05-02,6113,94,712,7.83,7.93,7.5,7.51,-0.32,49,2007,0.0,0.58,5.93,44.5343,0.2019948066085339,0,0,-0.04086845466155815
2007-05-03,6113,133,990,7.3,7.71,7.3,7.4,-0.11,59,2007,0.0,0.57,5.93,43.882,0.1990361609724568,0,0,-0.01464713715046597
2007-05-04,6113,91,683,7.54,7.6,7.39,7.54,0.14,42,2007,0.0,0.58,5.93,44.7122,0.2028017099638276,0,0,0.018918918918918875
2007-05-07,6113,123,974,7.56,8.06,7.56,7.89,0.35,60,2007,0.0,0.61,5.93,46.7877,0.2122155824422546,0,0,0.046419098143236026
2007-05-08,6113,75,587,7.83,7.83,7.68,7.8,-0.09,37,2007,0.0,0.61,5.93,46.254,0.2097948723763734,0,0,-0.011406844106463861
2007-05-09,6113,34,269,7.8,7.91,7.8,7.87,0.07,17,2007,0.0,0.61,5.93,46.6691,0.2116776468720588,0,0,0.008974358974359012
2007-05-10,6113,110,879,7.91,8.04,7.9,7.99,0.12,54,2007,0.0,0.69,5.93,47.3807,0.2149052602932338,0,0,0.015247776365946646
2007-05-11,6113,113,902,7.95,8.0,7.9,7.9,-0.09,31,2007,0.0,0.68,5.93,46.847,0.2124845502273526,0,0,-0.011264080100125138
2007-05-14,6113,77,603,7.91,7.97,7.7,7.7,-0.2,36,2007,0.0,0.66,5.93,45.661,0.2071051945253943,0,0,-0.025316455696202552
2007-05-15,6113,45,343,7.71,7.72,7.5,7.7,0.0,22,2007,0.0,0.66,5.93,45.661,0.2071051945253943,0,0,0.0
2007-05-16,6113,30,230,7.7,7.77,7.58,7.72,0.02,19,2007,0.0,0.67,5.93,45.7796,0.2076431300955901,0,0,0.002597402597402542
2007-05-17,6113,81,625,7.76,7.79,7.6,7.77,0.05,30,2007,0.0,0.67,5.93,46.0761,0.2089879690210797,0,0,0.006476683937823811
2007-05-18,6113,135,1005,7.7,7.7,7.4,7.57,-0.2,46,2007,0.0,0.65,5.93,44.8901,0.2036086133191214,0,0,-0.02574002574002565
2007-05-21,6113,74,563,7.65,7.74,7.57,7.7,0.13,36,2007,0.0,0.66,5.93,45.661,0.2071051945253943,0,0,0.017173051519154544
2007-05-22,6113,80,619,7.7,7.8,7.63,7.79,0.09,33,2007,0.0,0.67,5.93,46.1947,0.2095259045912755,0,0,0.01168831168831167
2007-05-23,6113,123,955,7.9,7.9,7.65,7.79,0.0,51,2007,0.0,0.67,5.93,46.1947,0.2095259045912755,0,0,0.0
2007-05-24,6113,95,728,7.7,7.75,7.61,7.63,-0.16,41,2007,0.0,0.66,5.93,45.2459,0.2052224200297089,0,0,-0.02053915275994867
2007-05-25,6113,54,415,7.7,7.72,7.61,7.61,-0.02,18,2007,0.0,0.66,5.93,45.1273,0.2046844844595131,0,0,-0.0026212319790300882
2007-05-28,6113,56,425,7.61,7.7,7.5,7.55,-0.06,27,2007,0.0,0.65,5.93,44.7715,0.2030706777489255,0,0,-0.007884362680683377
