date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA,DailyReturn
2005-09-02,2007,3850281,20682197,5.15,5.46,5.15,5.46,0.35,794,2005,0.0,0.54,38.0,207.48,0.2575220121867439,-2.67,-16.82,
2005-09-05,2007,2461678,13725229,5.59,5.64,5.5,5.55,0.09,549,2005,0.0,0.55,38.0,210.9,0.2617668805194924,-2.67,-16.82,0.016483516483516456
2005-09-06,2007,1746300,9682165,5.65,5.65,5.51,5.52,-0.03,380,2005,0.0,0.54,38.0,209.76,0.2603519244085763,-2.67,-16.82,-0.005405405405405451
2005-09-07,2007,2076753,11287122,5.59,5.59,5.4,5.42,-0.1,406,2005,0.0,0.53,38.0,205.96,0.2556354040388557,-2.67,-16.82,-0.018115942028985445
2005-09-08,2007,2196300,12007076,5.48,5.54,5.42,5.42,0.0,472,2005,0.0,0.53,38.0,205.96,0.2556354040388557,-2.67,-16.82,0.0
2005-09-09,2007,1500200,7995617,5.41,5.42,5.26,5.28,-0.14,273,2005,0.0,0.52,38.0,200.64,0.2490322755212469,-2.67,-16.82,-0.025830258302582967
2005-09-12,2007,1263000,6707960,5.31,5.37,5.26,5.29,0.01,263,2005,0.0,0.52,38.0,201.02,0.2495039275582189,-2.67,-16.82,0.0018939393939393534
2005-09-13,2007,1488000,7948720,5.3,5.38,5.29,5.32,0.03,330,2005,0.0,0.52,38.0,202.16000000000005,0.2509188836691351,-2.67,-16.82,0.005671077504725945
2005-09-14,2007,1183000,6179290,5.32,5.32,5.21,5.22,-0.1,239,2005,0.0,0.51,38.0,198.36,0.2462023632994145,-2.67,-16.82,-0.018796992481203107
2005-09-15,2007,1236571,6335466,5.21,5.23,5.08,5.08,-0.14,283,2005,0.0,0.5,38.0,193.04,0.2395992347818057,-2.67,-16.82,-0.026819923371647448
2005-09-16,2007,1165300,5899344,5.07,5.18,5.0,5.03,-0.05,272,2005,0.0,0.5,38.0,191.14,0.2372409745969454,-2.67,-16.82,-0.009842519685039335
2005-09-19,2007,2391000,12379960,5.05,5.28,5.05,5.12,0.09,532,2005,0.0,0.5,38.0,194.56,0.2414858429296939,-2.67,-16.82,0.01789264413518884
2005-09-20,2007,1609700,8264131,5.12,5.17,5.09,5.15,0.03,323,2005,0.0,0.51,38.0,195.7,0.2429007990406101,-2.67,-16.82,0.005859375000000049
2005-09-21,2007,2898000,14996410,5.15,5.25,5.1,5.13,-0.02,520,2005,0.0,0.51,38.0,194.94,0.241957494966666,-2.67,-16.82,-0.0038834951456311576
2005-09-22,2007,1635312,8335311,5.06,5.18,5.06,5.07,-0.06,337,2005,0.0,0.5,38.0,192.66000000000005,0.2391275827448336,-2.67,-16.82,-0.011695906432748463
2005-09-23,2007,1329279,6687416,5.1,5.13,5.01,5.01,-0.06,292,2005,0.0,0.49,38.0,190.38,0.2362976705230013,-2.67,-16.82,-0.011834319526627316
2005-09-26,2007,909000,4580460,5.03,5.1,5.01,5.02,0.01,209,2005,0.0,0.5,38.0,190.76,0.2367693225599733,-2.67,-16.82,0.0019960079840318935
2005-09-27,2007,1646000,8229240,5.06,5.08,4.98,4.98,-0.04,306,2005,0.0,0.49,38.0,189.24,0.2348827144120851,-2.67,-16.82,-0.007968127490039672
2005-09-28,2007,3303010,15815609,4.98,4.99,4.65,4.7,-0.28,545,2005,0.0,0.46,38.0,178.6,0.2216764573768674,-2.67,-16.82,-0.05622489959839362
2005-09-29,2007,1842000,8507140,4.65,4.7,4.52,4.68,-0.02,414,2005,0.0,0.46,38.0,177.83999999999995,0.2207331533029233,-2.67,-16.82,-0.004255319148936268
2005-09-30,2007,1700962,8135440,4.75,4.83,4.7,4.79,0.11,378,2005,0.0,0.47,38.0,182.02,0.225921325709616,-2.67,-16.82,0.023504273504273573
2005-10-03,2007,1129950,5401901,4.94,4.94,4.74,4.76,-0.03,299,2005,0.0,0.47,38.0,180.88,0.2204129330529835,-2.67,-16.82,-0.006263048016701514
2005-10-04,2007,1217000,5733340,4.7,4.8,4.65,4.7,-0.06,235,2005,0.0,0.46,38.0,178.6,0.2176346187708031,-2.67,-16.82,-0.012605042016806641
2005-10-05,2007,1505001,6897874,4.46,4.66,4.46,4.55,-0.15,339,2005,0.0,0.45,38.0,172.9,0.2106888330653519,-2.67,-16.82,-0.03191489361702135
2005-10-06,2007,1327677,6079858,4.5,4.65,4.5,4.59,0.04,287,2005,0.0,0.45,38.0,174.42,0.2125410425868055,-2.67,-16.82,0.0087912087912088
2005-10-07,2007,1167005,5302652,4.57,4.62,4.52,4.52,-0.07,245,2005,0.0,0.45,38.0,171.76,0.2092996759242616,-2.67,-16.82,-0.01525054466230943
2005-10-11,2007,1225000,5510260,4.53,4.59,4.42,4.48,-0.04,220,2005,0.0,0.44,38.0,170.24,0.207447466402808,-2.67,-16.82,-0.008849557522123706
2005-10-12,2007,6067000,27710950,4.48,4.63,4.41,4.5,0.02,561,2005,0.0,0.44,38.0,171.0,0.2083735711635348,-2.67,-16.82,0.004464285714285619
2005-10-13,2007,1812000,7959280,4.5,4.5,4.33,4.33,-0.17,381,2005,0.0,0.43,38.0,164.54,0.2005016806973568,-2.67,-16.82,-0.037777777777777764
2005-10-14,2007,1057812,4588620,4.3,4.42,4.3,4.31,-0.02,263,2005,0.0,0.43,38.0,163.77999999999997,0.19957557593663,-2.67,-16.82,-0.004618937644341908
2005-10-17,2007,2662000,10970080,4.32,4.39,4.01,4.01,-0.3,487,2005,0.0,0.4,38.0,152.38,0.1856840045257277,-2.67,-16.82,-0.06960556844547561
2005-10-18,2007,3433000,13205910,4.01,4.04,3.79,3.8,-0.21,547,2005,0.0,0.37,38.0,144.4,0.1759599045380961,-2.67,-16.82,-0.05236907730673316
2005-10-19,2007,3522500,12725638,3.8,3.8,3.54,3.54,-0.26,540,2005,0.0,0.35,38.0,134.52,0.1639205426486474,-2.67,-16.82,-0.0684210526315789
2005-10-20,2007,4738000,16272830,3.55,3.58,3.3,3.33,-0.21,681,2005,0.0,0.33,38.0,126.54,0.1541964426610158,-2.67,-16.82,-0.05932203389830507
2005-10-21,2007,3714000,12539050,3.31,3.44,3.26,3.41,0.08,567,2005,0.0,0.34,38.0,129.58,0.1579008617039231,-2.67,-16.82,0.024024024024024045
2005-10-24,2007,1843500,6351023,3.43,3.49,3.39,3.48,0.07,326,2005,0.0,0.34,38.0,132.24,0.1611422283664669,-2.67,-16.82,0.020527859237536607
2005-10-25,2007,2894000,10528690,3.5,3.7,3.5,3.7,0.22,514,2005,0.0,0.36,38.0,140.6,0.171329380734462,-2.67,-16.82,0.06321839080459776
2005-10-26,2007,2375380,8657867,3.75,3.75,3.58,3.58,-0.12,396,2005,0.0,0.35,38.0,136.04,0.165772752170101,-2.67,-16.82,-0.03243243243243246
2005-10-27,2007,1106260,3925483,3.5,3.63,3.5,3.51,-0.07,250,2005,0.0,0.35,38.0,133.38,0.1625313855075572,-2.67,-16.82,-0.019553072625698404
2005-10-28,2007,1374380,4693145,3.4,3.49,3.38,3.43,-0.08,235,2005,0.0,0.36,38.0,130.34,0.1588269664646499,-2.67,-16.82,-0.022792022792022686
2005-10-31,2007,2462000,8639650,3.48,3.6,3.43,3.52,0.09,414,2005,0.0,0.37,38.0,133.76,0.1629944378879206,-2.67,-16.82,0.026239067055393542
