date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2007-01-02,8068,416,68455,163.0,167.0,161.0,167.0,10.5,300,2007,77.31,20.8,3.07,512.6899999999999,1.5879052961871254,0,0,
2007-01-03,8068,1425,246994,178.0,178.5,160.0,176.0,9.0,1088,2007,81.48,21.92,3.07,540.3199999999999,1.67348103071218,0,0,0.05389221556886228
2007-01-04,8068,1016,173346,169.0,179.5,165.0,166.0,-10.0,809,2007,76.85,20.67,3.07,509.62,1.578396881239897,0,0,-0.056818181818181816
2007-01-05,8068,661,113571,170.0,176.0,166.0,174.0,8.0,552,2007,80.56,21.67,3.07,534.18,1.6544642008177235,0,0,0.04819277108433735
2007-01-08,8068,751,125859,180.0,180.0,162.0,162.0,-12.0,592,2007,75.0,20.17,3.07,497.34,1.540363221450984,0,0,-0.06896551724137931
2007-01-09,8068,1016,157901,153.0,166.0,151.0,157.0,-5.0,800,2007,72.69,19.55,3.07,481.99,1.4928211467148425,0,0,-0.030864197530864196
2007-01-10,8068,809,126241,165.0,165.0,148.0,149.5,-7.5,648,2007,69.21,18.62,3.07,458.965,1.4215080346106304,0,0,-0.04777070063694268
2007-01-11,8068,772,110082,144.0,152.0,139.5,139.5,-10.0,639,2007,64.58,17.37,3.07,428.265,1.3264238851383474,0,0,-0.06688963210702341
2007-01-12,8068,754,98956,134.5,138.5,130.0,130.0,-9.5,566,2007,60.19,16.19,3.07,399.1,1.2360939431396785,0,0,-0.06810035842293907
2007-01-15,8068,323,39307,121.0,124.5,121.0,121.0,-9.0,247,2007,56.02,15.07,3.07,371.47,1.1505182086146235,0,0,-0.06923076923076923
2007-01-16,8068,222,25086,113.0,113.0,113.0,113.0,-8.0,175,2007,52.31,14.07,3.07,346.91,1.0744508890367974,0,0,-0.06611570247933884
2007-01-17,8068,365,43876,120.0,120.5,120.0,120.5,7.5,252,2007,55.79,15.01,3.07,369.935,1.1457640011410095,0,0,0.06637168141592921
2007-01-18,8068,100,12850,128.5,128.5,128.5,128.5,8.0,66,2007,59.49,16.0,3.07,394.495,1.2218313207188365,0,0,0.06639004149377593
2007-01-19,8068,181,24797,137.0,137.0,137.0,137.0,8.5,125,2007,63.43,17.06,3.07,420.59,1.3026528477702766,0,0,0.06614785992217899
2007-01-22,8068,169,24767,146.5,146.5,146.5,146.5,9.5,123,2007,67.82,18.24,3.07,449.755,1.3929827897689455,0,0,0.06934306569343066
2007-01-23,8068,1158,169918,156.5,156.5,138.0,138.0,-8.5,831,2007,63.89,17.19,3.07,423.66,1.3121612627175048,0,0,-0.05802047781569966
2007-01-24,8068,533,69691,128.5,138.0,128.5,128.5,-9.5,446,2007,59.49,16.0,3.07,394.495,1.2218313207188365,0,0,-0.06884057971014493
2007-01-25,8068,436,57963,125.5,137.0,123.0,129.5,1.0,381,2007,59.95,16.13,3.07,397.565,1.2313397356660645,0,0,0.007782101167315175
2007-01-26,8068,247,31417,125.0,131.0,124.5,127.5,-2.0,224,2007,59.03,15.88,3.07,391.425,1.2123229057716076,0,0,-0.015444015444015444
2007-01-29,8068,533,64127,120.5,126.0,119.0,119.0,-8.5,418,2007,55.09,14.82,3.07,365.33,1.131501378720167,0,0,-0.06666666666666667
2007-01-30,8068,305,36103,119.0,122.0,114.0,117.0,-2.0,274,2007,54.17,14.57,3.07,359.19,1.112484548825711,0,0,-0.01680672268907563
2007-01-31,8068,281,33504,121.0,122.0,117.0,119.0,2.0,242,2007,55.09,14.82,3.07,365.33,1.131501378720167,0,0,0.017094017094017096
2007-02-01,8068,242,28048,116.0,120.0,112.0,112.5,-6.5,204,2007,52.08,14.01,3.07,345.375,1.0696966815631834,0,0,-0.0546218487394958
2007-02-02,8068,302,33768,112.0,114.5,110.0,111.0,-1.5,246,2007,51.39,13.82,3.07,340.77,1.0799910246366118,0,0,-0.013333333333333334
2007-02-05,8068,837,91855,113.5,118.5,103.5,118.5,7.5,663,2007,54.86,14.76,3.07,363.795,1.1529633911661126,0,0,0.06756756756756757
2007-02-06,8068,749,92958,123.0,126.0,121.0,126.0,7.5,586,2007,58.33,15.69,3.07,386.82,1.2259357576956136,0,0,0.06329113924050633
2007-02-07,8068,398,48901,129.0,129.0,118.0,119.0,-7.0,343,2007,55.09,14.82,3.07,365.33,1.1578282156014128,0,0,-0.05555555555555555
