date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2007-01-02,3078,5392,194487,36.9,37.0,35.5,36.0,-1.0,2117,2007,21.82,2.25,15.0,540.0,1.4065353362049229,0,0,
2007-01-03,3078,3059,108455,36.1,36.5,35.0,35.35,-0.65,974,2007,21.42,2.21,15.0,530.25,1.3811395593012228,0,0,-0.018055555555555516
2007-01-04,3078,7043,259465,35.35,37.7,35.35,36.75,1.4,2197,2007,22.27,2.3,15.0,551.25,1.4358381557091922,0,0,0.03960396039603956
2007-01-05,3078,3681,135746,37.2,37.7,36.4,36.8,0.05,1136,2007,22.3,2.3,15.0,552.0,1.4377916770094767,0,0,0.0013605442176869975
2007-01-08,3078,2861,105140,36.6,37.5,36.1,36.5,-0.3,993,2007,22.12,2.28,15.0,547.5,1.426070549207769,0,0,-0.008152173913043402
2007-01-09,3078,2727,98998,36.6,37.0,36.0,36.0,-0.5,821,2007,21.82,2.25,15.0,540.0,1.4065353362049229,0,0,-0.0136986301369863
2007-01-10,3078,5469,200589,35.9,37.4,35.45,37.2,1.2,1612,2007,22.55,2.33,15.0,558.0,1.4534198474117537,0,0,0.03333333333333341
2007-01-11,3078,14488,556017,38.2,39.0,37.35,37.7,0.5,4309,2007,22.85,2.36,15.0,565.5,1.4729550604145998,0,0,0.013440860215053762
2007-01-12,3078,4097,153839,38.4,38.5,36.65,37.5,-0.2,1368,2007,22.73,2.35,15.0,562.5,1.4651409752134612,0,0,-0.005305039787798484
2007-01-15,3078,2643,98041,38.0,38.05,36.6,37.1,-0.4,892,2007,22.48,2.32,15.0,556.5,1.4495128048111845,0,0,-0.010666666666666628
2007-01-16,3078,4966,187968,37.7,38.35,37.2,37.4,0.3,1697,2007,22.67,2.34,15.0,561.0,1.461233932612892,0,0,0.00808625336927216
2007-01-17,3078,1714,63803,37.4,37.6,36.8,37.25,-0.15,647,2007,22.58,2.33,15.0,558.75,1.4553733687120385,0,0,-0.004010695187165738
2007-01-18,3078,2019,74855,37.4,37.55,36.8,37.1,-0.15,743,2007,22.48,2.32,15.0,556.5,1.4495128048111845,0,0,-0.004026845637583855
2007-01-19,3078,2317,86084,37.1,37.7,36.6,37.0,-0.1,871,2007,22.42,2.31,15.0,555.0,1.445605762210615,0,0,-0.0026954177897574507
2007-01-22,3078,3075,110606,37.1,37.3,34.45,35.6,-1.4,1066,2007,21.58,2.23,15.0,534.0,1.390907165802646,0,0,-0.0378378378378378
2007-01-23,3078,3488,121691,35.15,35.6,34.05,34.85,-0.75,1131,2007,21.12,2.18,15.0,522.75,1.361604346298377,0,0,-0.021067415730337078
