date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2012-10-18,3689,6044000,410231000,67.0,69.8,66.1,69.5,19.5,3735,2012,12.99,2.82,6.76,469.82,1.2569657902080165,0,0,
2012-10-19,3689,2621000,176325200,68.0,68.5,66.3,66.7,-2.8,1722,2012,12.47,2.71,6.76,450.892,1.2063254418255354,0,0,-0.040287769784172624
2012-10-22,3689,1791000,118843900,65.6,67.8,65.3,65.3,-1.4,1121,2012,12.21,2.65,6.76,441.428,1.1810052676342944,0,0,-0.020989505247376396
2012-10-23,3689,1392000,91594100,65.3,66.4,65.3,65.4,0.1,841,2012,12.22,2.65,6.76,442.104,1.1828138515050977,0,0,0.0015313935681471444
2012-10-24,3689,1378000,89569300,65.0,65.9,63.6,64.2,-1.2,930,2012,12.0,2.6,6.76,433.992,1.1611108450554628,0,0,-0.018348623853211052
2012-10-25,3689,1183000,77095000,64.8,66.0,64.2,64.7,0.5,794,2012,12.09,2.62,6.76,437.372,1.1701537644094773,0,0,0.00778816199376947
2012-10-26,3689,1325000,84169400,65.4,66.4,61.0,61.0,-3.7,926,2012,11.4,2.47,6.76,412.36,1.10323616118977,0,0,-0.05718701700154564
2012-10-29,3689,1365000,80332500,62.0,62.0,56.8,58.0,-3.0,863,2012,10.84,2.35,6.76,392.08,1.0489786450656828,0,0,-0.04918032786885246
2012-10-30,3689,1797000,108825200,59.9,62.0,59.4,62.0,4.0,911,2012,11.59,2.52,6.76,419.12,1.121321999897799,0,0,0.06896551724137931
2012-10-31,3689,1375000,85467800,63.0,63.4,60.6,62.5,0.5,956,2012,11.68,2.54,6.76,422.5,1.1303649192518137,0,0,0.008064516129032258
2012-11-01,3689,1177000,74455900,61.9,64.3,61.1,63.4,0.9,795,2012,11.85,2.57,6.76,428.584,1.1466421740890396,0,0,0.014399999999999977
2012-11-02,3689,827000,52495600,64.0,64.5,62.6,62.7,-0.7,557,2012,11.72,2.54,6.76,423.852,1.1365560944164348,0,0,-0.01104100946372233
2012-11-05,3689,715000,43741400,62.0,62.5,60.2,60.5,-2.2,515,2012,10.34,2.27,6.76,408.98,1.0966769332088404,0,0,-0.03508771929824566
2012-11-06,3689,546000,33087600,60.8,61.3,59.5,61.3,0.8,412,2012,10.48,2.3,6.76,414.388,1.1111784463752383,0,0,0.013223140495867721
2012-11-07,3689,859000,51936800,60.8,61.6,59.8,60.3,-1.0,577,2012,10.31,2.26,6.76,407.628,1.093051554917241,0,0,-0.016313213703099513
2012-11-08,3689,437000,25993700,58.8,60.0,58.8,59.4,-0.9,341,2012,10.15,2.22,6.76,401.544,1.0767373526050434,0,0,-0.014925373134328335
2012-11-09,3689,803000,47454700,58.3,60.2,58.2,58.7,-0.7,552,2012,10.03,2.2,6.76,396.812,1.0640485285844452,0,0,-0.011784511784511714
2012-11-12,3689,644000,37263700,59.0,59.2,57.0,57.7,-1.0,429,2012,9.86,2.16,6.76,390.052,1.045921637126448,0,0,-0.017035775127768313
