date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2020-05-18,8284,3066000,207738900,66.0,74.9,66.0,70.9,25.9,2057,2020,15.69,3.83,4.63,328.267,1.876847448362925,0,0,
2020-05-19,8284,1776000,124093200,72.0,73.0,67.0,67.5,-3.4,1364,2020,14.93,3.64,4.63,312.525,1.786843480458356,0,0,-0.0479548660084627
2020-05-20,8284,834000,55382100,67.6,67.6,66.0,66.0,-1.5,640,2020,14.6,3.56,4.63,305.58,1.7471358475592813,0,0,-0.022222222222222223
2020-05-21,8284,925000,61785900,65.7,68.1,64.5,67.1,1.1,632,2020,14.85,3.62,4.63,310.67299999999994,1.7762547783519358,0,0,0.01666666666666658
2020-05-22,8284,706000,46375200,66.1,67.1,65.0,65.1,-2.0,515,2020,14.4,3.52,4.63,301.41299999999995,1.7233112678198363,0,0,-0.02980625931445604
2020-05-25,8284,643000,41092200,65.1,65.5,63.1,64.0,-1.1,485,2020,14.16,3.46,4.63,296.32,1.694192337027182,0,0,-0.01689708141321036
2020-05-26,8284,347000,22204900,64.4,64.8,63.2,63.4,-0.6,269,2020,14.03,3.42,4.63,293.542,1.6783092838675515,0,0,-0.009375000000000022
2020-05-27,8284,390000,24923800,63.5,64.9,63.0,64.3,0.9,295,2020,14.23,3.47,4.63,297.709,1.7021338636069967,0,0,0.014195583596214489
2020-05-28,8284,250000,15946600,64.5,64.5,63.5,63.5,-0.8,202,2020,14.05,3.43,4.63,294.005,1.680956459394157,0,0,-0.012441679626749568
2020-05-29,8284,205000,12928200,63.5,63.5,62.9,63.0,-0.5,171,2020,13.94,3.4,4.63,291.69,1.6677205817611322,0,0,-0.007874015748031496
2020-06-01,8284,180000,11363100,63.3,63.4,62.8,63.3,0.3,152,2020,14.0,3.42,4.63,293.079,1.675662108340947,0,0,0.004761904761904716
2020-06-02,8284,517000,33539700,63.5,65.7,63.5,65.3,2.0,419,2020,14.45,3.53,4.63,302.339,1.7207634582713196,0,0,0.031595576619273306
2020-06-03,8284,356000,23108300,64.5,65.7,64.5,64.8,-0.5,286,2020,14.34,3.5,4.63,300.024,1.707587627809824,0,0,-0.007656967840735069
2020-06-04,8284,364000,23607300,64.9,65.2,64.6,65.2,0.4,228,2020,14.42,3.52,4.63,301.87600000000003,1.7181282921790209,0,0,0.006172839506172928
2020-06-05,8284,305000,19889500,65.0,65.9,64.8,65.0,-0.2,197,2020,14.38,3.51,4.63,300.95,1.7128579599944225,0,0,-0.0030674846625767306
2020-06-08,8284,294000,19219000,65.3,65.8,64.9,65.2,0.2,198,2020,14.42,3.52,4.63,301.87600000000003,1.7181282921790209,0,0,0.0030769230769231207
2020-06-09,8284,190000,12343800,65.3,65.6,64.6,64.7,-0.5,141,2020,14.31,3.49,4.63,299.561,1.704952461717525,0,0,-0.007668711656441718
2020-06-10,8284,140000,9071000,64.7,65.0,64.5,64.8,0.1,120,2020,14.34,3.5,4.63,300.024,1.707587627809824,0,0,0.001545595054095739
2020-06-11,8284,223000,14347500,64.9,65.1,63.3,63.8,-1.0,180,2020,14.12,3.44,4.63,295.394,1.681235966886833,0,0,-0.0154320987654321
2020-06-12,8284,259000,16021900,60.8,62.8,60.8,62.5,-1.3,200,2020,13.83,3.37,4.63,289.375,1.6469788076869445,0,0,-0.0203761755485893
2020-06-15,8284,157000,9949200,62.8,64.3,62.3,63.3,0.8,118,2020,14.0,3.42,4.63,293.079,1.6680601364253371,0,0,0.012799999999999954
2020-06-16,8284,162000,10460800,63.8,65.2,63.8,64.3,1.0,118,2020,14.23,3.47,4.63,297.709,1.6944117973483286,0,0,0.015797788309636653
2020-06-17,8284,151000,9686700,64.3,65.7,63.5,64.3,0.0,108,2020,14.23,3.47,4.63,297.709,1.6944117973483286,0,0,0.0
2020-06-18,8284,274000,17799000,64.4,65.3,64.4,65.0,0.7,169,2020,14.38,3.51,4.63,300.95,1.7128579599944225,0,0,0.010886469673405955
2020-06-19,8284,160000,10457200,65.4,65.7,65.1,65.2,0.2,114,2020,14.42,3.52,4.63,301.87600000000003,1.7181282921790209,0,0,0.0030769230769231207
2020-06-22,8284,106000,6889900,65.6,65.6,64.5,64.5,-0.7,90,2020,14.27,3.48,4.63,298.635,1.6996821295329267,0,0,-0.010736196319018449
2020-06-23,8284,98000,6284300,64.6,64.6,64.0,64.0,-0.5,79,2020,14.16,3.46,4.63,296.32,1.6865062990714312,0,0,-0.007751937984496124
2020-06-24,8284,120000,7696500,64.0,64.5,64.0,64.3,0.3,83,2020,14.23,3.47,4.63,297.709,1.6944117973483286,0,0,0.004687499999999956
2020-06-29,8284,245000,15809100,64.4,64.8,64.0,64.7,0.4,147,2020,14.31,3.49,4.63,299.561,1.704952461717525,0,0,0.006220839813374894
2020-06-30,8284,172000,10743600,62.2,62.8,62.0,62.6,0.0,135,2020,13.85,3.38,4.63,289.838,1.6496139737792437,0,0,-0.032457496136012384
2020-07-01,8284,131000,8176800,62.8,62.8,62.0,62.4,-0.2,87,2020,13.81,3.37,4.63,288.912,1.6443436415946455,0,0,-0.0031948881789137834
2020-07-02,8284,87000,5456500,62.5,63.0,62.5,62.5,0.1,73,2020,13.83,3.37,4.63,289.375,1.622746660296247,0,0,0.0016025641025641253
2020-07-03,8284,119000,7393800,62.3,62.5,62.0,62.1,-0.4,94,2020,13.74,3.35,4.63,287.523,1.6123610816703513,0,0,-0.006399999999999977
2020-07-06,8284,86000,5360700,62.2,62.6,62.1,62.1,0.0,67,2020,13.74,3.35,4.63,287.523,1.6123610816703513,0,0,0.0
2020-07-07,8284,115000,7138300,62.3,62.5,61.6,62.3,0.2,89,2020,13.78,3.36,4.63,288.449,1.6175538709832986,0,0,0.0032206119162640216
2020-07-08,8284,135000,8358000,62.3,62.3,61.6,62.1,-0.2,102,2020,13.74,3.35,4.63,287.523,1.6123610816703513,0,0,-0.0032102728731941534
2020-07-09,8284,157000,9836800,62.4,63.1,62.3,62.7,0.6,99,2020,13.87,3.39,4.63,290.301,1.627939449609195,0,0,0.009661835748792293
2020-07-10,8284,185000,11348900,63.0,63.0,60.8,61.1,-1.6,136,2020,13.52,3.3,4.63,282.893,1.5863971351056108,0,0,-0.025518341307815013
2020-07-13,8284,119000,7314100,61.9,61.9,61.3,61.4,0.3,81,2020,13.58,3.32,4.63,284.282,1.594186319075033,0,0,0.004909983633387842
2020-07-14,8284,101000,6145500,61.3,61.3,60.7,60.7,-0.7,75,2020,13.43,3.28,4.63,281.041,1.576011556479715,0,0,-0.011400651465797976
2020-07-15,8284,114000,6885400,60.7,61.3,60.0,60.1,-0.6,80,2020,13.3,3.25,4.63,278.263,1.560433188540871,0,0,-0.009884678747940715
2020-07-16,8284,86000,5156300,60.1,60.6,59.5,60.2,0.1,66,2020,13.32,3.25,4.63,278.726,1.563029583197345,0,0,0.0016638935108153315
2020-07-17,8284,85000,5099300,60.5,60.5,59.7,59.9,-0.3,51,2020,13.25,3.23,4.63,277.337,1.5552403992279231,0,0,-0.004983388704319008
2020-07-20,8284,81000,4774800,59.9,59.9,58.6,58.9,-1.0,66,2020,13.03,3.18,4.63,272.707,1.529276452663183,0,0,-0.01669449081803005
2020-07-21,8284,469000,26993600,58.9,59.0,56.6,57.1,-1.8,322,2020,12.63,3.08,4.63,264.373,1.4825413488466512,0,0,-0.030560271646859035
2020-07-22,8284,140000,8099800,57.2,58.5,57.2,58.4,1.3,106,2020,12.92,3.15,4.63,270.392,1.516294479380813,0,0,0.022767075306479808
2020-07-23,8284,106000,6175100,58.4,58.9,57.8,58.4,0.0,81,2020,12.92,3.15,4.63,270.392,1.516294479380813,0,0,0.0
2020-07-24,8284,84000,4823900,58.4,58.4,56.9,57.4,-1.0,68,2020,12.7,3.1,4.63,265.762,1.4903305328160732,0,0,-0.017123287671232876
2020-07-27,8284,86000,4886100,57.8,57.9,56.3,56.4,-1.0,74,2020,12.48,3.05,4.63,261.132,1.464366586251333,0,0,-0.017421602787456445
2020-07-28,8284,176000,9644600,56.0,56.0,53.8,54.1,-2.3,153,2020,11.97,2.92,4.63,250.483,1.4046495091524314,0,0,-0.04078014184397158
2020-07-29,8284,76000,4166200,54.5,55.4,54.1,55.0,0.9,53,2020,12.17,2.97,4.63,254.65,1.4280170610606973,0,0,0.016635859519408477
2020-07-30,8284,43000,2357100,55.1,55.1,54.7,54.8,-0.2,33,2020,12.12,2.96,4.63,253.724,1.4228242717477493,0,0,-0.003636363636363688
2020-07-31,8284,77000,4225400,55.8,55.8,54.5,55.0,0.2,46,2020,12.17,2.97,4.63,254.65,1.4280170610606973,0,0,0.0036496350364964023
2020-08-03,8284,102000,5666100,55.0,56.1,55.0,56.1,1.1,62,2020,12.41,3.03,4.63,259.743,1.4419896495940114,0,0,0.020000000000000025
2020-08-04,8284,152000,8615000,56.1,57.1,55.9,57.0,0.9,99,2020,12.61,3.08,4.63,263.91,1.465123173384289,0,0,0.016042780748663076
2020-08-05,8284,71000,4056600,57.2,57.4,57.0,57.3,0.3,53,2020,12.68,3.09,4.63,265.299,1.472834347981049,0,0,0.0052631578947367925
2020-08-06,8284,70000,4039700,57.6,58.0,57.4,57.5,0.2,57,2020,12.72,3.1,4.63,266.225,1.4779751310455551,0,0,0.0034904013961606084
2020-08-07,8284,67000,3816800,57.2,57.2,56.8,56.9,-0.6,48,2020,12.59,3.07,4.63,263.447,1.4625527818520363,0,0,-0.010434782608695677
