date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA,DailyReturn
2005-09-02,2201,1024360,34072960,33.2,33.4,33.1,33.25,0.35,360,2005,8.91,0.97,141.0,4688.25,1.1275392450757686,8.7,11.8,
2005-09-05,2201,940353,31147917,33.3,33.4,33.0,33.0,-0.25,328,2005,8.85,0.96,141.0,4653.0,1.1190615063909883,8.7,11.8,-0.007518796992481203
2005-09-06,2201,935809,31302214,33.1,33.6,33.1,33.6,0.6,423,2005,9.01,0.98,141.0,4737.6,1.139408079234461,8.7,11.8,0.018181818181818226
2005-09-07,2201,1796643,60050851,33.8,33.8,33.1,33.15,-0.45,462,2005,8.89,0.96,141.0,4674.15,1.1241481496018566,8.7,11.8,-0.013392857142857227
2005-09-08,2201,682963,22781973,33.4,33.45,33.2,33.25,0.1,268,2005,8.91,0.97,141.0,4688.25,1.1275392450757686,8.7,11.8,0.0030165912518854126
2005-09-09,2201,981611,32494506,33.25,33.4,33.0,33.05,-0.2,336,2005,8.86,0.96,141.0,4660.049999999999,1.1207570541279444,8.7,11.8,-0.006015037593985048
2005-09-12,2201,1013624,33519523,33.1,33.4,32.9,33.05,0.0,340,2005,8.86,0.96,141.0,4660.049999999999,1.1207570541279444,8.7,11.8,0.0
2005-09-13,2201,575384,19016102,33.15,33.15,32.95,33.05,0.0,313,2005,8.86,0.96,141.0,4660.049999999999,1.1207570541279444,8.7,11.8,0.0
2005-09-14,2201,862944,28424145,33.05,33.1,32.8,32.8,-0.25,275,2005,8.79,0.95,141.0,4624.799999999999,1.112279315443164,8.7,11.8,-0.007564296520423602
2005-09-15,2201,1201015,39485120,32.8,33.1,32.65,32.8,0.0,408,2005,8.79,0.95,141.0,4624.799999999999,1.112279315443164,8.7,11.8,0.0
2005-09-16,2201,643357,21020078,32.8,32.9,32.5,32.5,-0.3,286,2005,8.71,0.94,141.0,4582.5,1.102106029021428,8.7,11.8,-0.009146341463414549
2005-09-19,2201,792177,25999576,32.5,33.0,32.5,32.65,0.15,208,2005,8.75,0.95,141.0,4603.65,1.107192672232296,8.7,11.8,0.004615384615384572
2005-09-20,2201,1737025,57755379,32.65,33.75,32.5,33.5,0.85,704,2005,8.98,0.97,141.0,4723.5,1.136016983760549,8.7,11.8,0.026033690658499278
