date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2012-09-17,2729,1960000,514635000,277.0,277.0,252.0,253.0,33.0,1725,2012,25.87,11.58,2.33,589.49,3.173033654643204,0,0,
2012-09-18,2729,883000,221755000,253.0,260.0,245.5,247.0,-6.0,835,2012,25.26,11.3,2.33,575.51,3.0977838446516657,0,0,-0.023715415019762844
2012-09-19,2729,659000,162274000,247.0,251.0,243.0,246.0,-1.0,592,2012,25.15,11.26,2.33,573.1800000000001,3.0852422096530763,0,0,-0.004048582995951417
2012-09-20,2729,598000,143580000,247.5,248.0,236.5,237.0,-9.0,565,2012,24.23,10.85,2.33,552.21,2.972367494665768,0,0,-0.036585365853658534
2012-09-21,2729,550000,132517500,238.0,243.0,238.0,242.5,5.5,497,2012,24.8,11.1,2.33,565.025,3.041346487158012,0,0,0.023206751054852322
2012-09-24,2729,383000,90814500,242.5,242.5,231.5,234.0,-8.5,364,2012,23.93,10.71,2.33,545.22,2.934742589669999,0,0,-0.03505154639175258
2012-09-25,2729,316000,73669500,234.0,238.0,230.0,231.0,-3.0,298,2012,23.62,10.57,2.33,538.23,2.897117684674229,0,0,-0.01282051282051282
2012-09-26,2729,397000,89834500,229.0,230.0,223.0,224.5,-6.5,366,2012,22.96,10.27,2.33,523.085,2.8155970571833966,0,0,-0.02813852813852814
2012-09-27,2729,218000,49392000,224.5,229.5,224.5,225.0,0.5,204,2012,23.01,10.3,2.33,524.25,2.8218678746826917,0,0,0.0022271714922048997
2012-09-28,2729,431000,99056000,226.5,233.0,226.0,228.5,3.5,395,2012,23.36,10.46,2.33,532.405,2.8657635971777555,0,0,0.015555555555555555
2012-10-01,2729,296000,66275500,227.5,227.5,220.5,225.0,-3.5,271,2012,23.01,10.3,2.33,524.25,2.8218678746826917,0,0,-0.015317286652078774
2012-10-02,2729,142000,31995500,227.0,227.0,223.5,225.0,0.0,127,2012,23.01,10.3,2.33,524.25,2.795494574580916,0,0,0.0
2012-10-03,2729,491000,113552000,226.0,233.5,225.0,231.0,6.0,408,2012,23.62,10.57,2.33,538.23,2.8700410965697403,0,0,0.02666666666666667
