date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA,DailyReturn
2014-09-15,8443,5146783,291141691,54.5,59.8,53.5,57.2,0.0,3585,2014,0.0,2.47,6.68,382.096,1.3474809143076394,5.4,8.14,
2014-09-16,8443,2442990,135699270,57.2,59.5,52.0,53.5,-3.7,1763,2014,28.61,2.31,6.68,357.38,1.2603186873331942,5.4,8.14,-0.06468531468531473
2014-09-17,8443,2028415,101722120,53.5,53.8,48.6,48.8,-4.7,1554,2014,26.1,2.11,6.68,325.984,1.149599101717007,5.4,8.14,-0.08785046728971968
2014-09-18,8443,1190832,57406372,48.6,49.5,47.0,48.0,-0.8,880,2014,25.67,2.07,6.68,320.64,1.1307532148036137,5.4,8.14,-0.01639344262295076
2014-09-19,8443,727116,35119668,48.7,49.05,48.0,48.0,0.0,567,2014,25.67,2.07,6.68,320.64,1.1307532148036137,5.4,8.14,0.0
2014-09-22,8443,595590,27744533,48.0,48.0,46.15,46.15,-1.85,505,2014,24.68,1.99,6.68,308.282,1.0871721013163909,5.4,8.14,-0.038541666666666696
2014-09-23,8443,440578,20586802,46.0,47.25,46.0,46.45,0.3,385,2014,24.84,2.01,6.68,310.286,1.0942393089089135,5.4,8.14,0.00650054171180941
2014-09-24,8443,639953,29008570,46.2,47.0,44.2,44.45,-2.0,531,2014,23.77,1.92,6.68,296.926,1.0471245916254297,5.4,8.14,-0.04305705059203444
2014-09-25,8443,823742,35425633,44.7,44.95,42.05,42.5,-1.95,655,2014,22.73,1.84,6.68,283.9,1.0011877422740327,5.4,8.14,-0.04386951631046125
2014-09-26,8443,506997,21179874,42.5,42.5,41.15,41.9,-0.6,408,2014,22.41,1.81,6.68,279.892,0.9870533270889876,5.4,8.14,-0.014117647058823563
2014-09-29,8443,410505,17614587,42.0,43.3,42.0,43.15,1.25,348,2014,23.07,1.86,6.68,288.242,1.016500025391165,5.4,8.14,0.02983293556085919
2014-09-30,8443,308412,13050126,42.9,42.9,42.05,42.3,-0.85,228,2014,22.62,1.83,6.68,282.564,0.9964762705456842,5.4,8.14,-0.019698725376593312
2014-10-01,8443,168400,7160927,42.2,42.75,42.2,42.4,0.1,150,2014,22.67,1.83,6.68,283.232,0.9988320064098584,5.4,8.14,0.0023640661938534617
2014-10-02,8443,247498,10293086,42.2,42.2,41.25,41.65,-0.75,208,2014,22.27,1.8,6.68,278.222,0.9743147242963393,5.4,8.14,-0.01768867924528302
2014-10-03,8443,300106,12759654,41.75,43.0,41.75,42.5,0.85,254,2014,22.73,1.84,6.68,283.9,0.9941986982615706,5.4,8.14,0.02040816326530616
2014-10-06,8443,188000,7907050,42.5,42.5,41.95,42.0,-0.5,156,2014,22.46,1.81,6.68,280.56,0.982502242987905,5.4,8.14,-0.011764705882352941
2014-10-07,8443,372185,15921405,42.05,43.7,41.65,43.1,1.1,323,2014,23.05,1.86,6.68,287.908,1.0082344445899691,5.4,8.14,0.026190476190476226
2014-10-08,8443,302702,12776784,42.2,42.7,41.65,41.95,-1.15,232,2014,22.43,1.81,6.68,280.226,0.9813325974605384,5.4,8.14,-0.02668213457076563
2014-10-09,8443,238130,9890444,42.0,42.25,41.2,41.2,-0.75,212,2014,22.03,1.78,6.68,275.216,0.9637879145500402,5.4,8.14,-0.017878426698450536
2014-10-13,8443,308625,12083385,39.9,40.0,38.5,38.6,-2.6,254,2014,20.64,1.67,6.68,257.848,0.9029663471269794,5.4,8.14,-0.06310679611650488
2014-10-14,8443,285000,10810795,38.0,38.8,37.4,37.7,-0.9,233,2014,20.16,1.63,6.68,251.836,0.8819127276343814,5.4,8.14,-0.023316062176165765
2014-10-15,8443,188723,7040895,37.7,38.35,37.0,37.0,-0.7,163,2014,19.79,1.6,6.68,247.16,0.8655376902512497,5.4,8.14,-0.018567639257294502
2014-10-16,8443,272412,9706632,36.5,36.5,35.0,35.85,-1.15,231,2014,19.17,1.55,6.68,239.478,0.8386358431218189,5.4,8.14,-0.03108108108108104
2014-10-17,8443,210027,7344572,36.0,36.1,34.1,34.1,-1.75,180,2014,18.24,1.47,6.68,227.788,0.7976982496639895,5.4,8.14,-0.048814504881450484
2014-10-20,8443,183897,6443013,34.7,35.25,34.7,35.0,0.9,154,2014,18.72,1.51,6.68,233.8,0.8187518691565875,5.4,8.14,0.0263929618768328
2014-10-21,8443,93621,3270935,35.0,35.2,34.7,34.8,-0.2,79,2014,18.61,1.5,6.68,232.464,0.8140732870471211,5.4,8.14,-0.005714285714285796
2014-10-22,8443,402270,14732093,35.0,37.2,34.85,37.2,2.4,238,2014,19.89,1.61,6.68,248.496,0.8702162723607159,5.4,8.14,0.06896551724137948
2014-10-23,8443,254250,9203635,36.0,36.9,35.75,36.05,-1.15,192,2014,19.28,1.56,6.68,240.814,0.843314425231285,5.4,8.14,-0.030913978494623805
2014-10-24,8443,338350,12512884,36.1,38.0,36.1,36.8,0.75,262,2014,19.68,1.59,6.68,245.824,0.8608591081417835,5.4,8.14,0.020804438280166437
2014-10-27,8443,176003,6268660,36.75,36.75,35.0,35.1,-1.7,149,2014,18.77,1.52,6.68,234.468,0.8210911602113207,5.4,8.14,-0.04619565217391293
2014-10-28,8443,130000,4626250,35.2,36.05,35.2,35.8,0.7,110,2014,19.14,1.55,6.68,239.144,0.8374661975944524,5.4,8.14,0.01994301994301982
2014-10-29,8443,134000,4852950,36.1,36.4,35.9,36.25,0.45,116,2014,19.39,1.57,6.68,242.15,0.8479930073407513,5.4,8.14,0.012569832402234717
2014-10-30,8443,95634,3430624,36.05,36.2,35.4,36.2,-0.05,84,2014,19.36,1.56,6.68,241.816,0.8468233618133848,5.4,8.14,-0.0013793103448275078
2014-10-31,8443,78000,2819300,36.25,36.4,36.0,36.25,0.05,70,2014,19.39,1.57,6.68,242.15,0.8479930073407513,5.4,8.14,0.0013812154696131811
2014-11-03,8443,188154,6916751,36.5,37.35,36.5,36.6,0.35,151,2014,19.57,1.58,6.68,244.488,0.8804397733431525,5.4,8.14,0.009655172413793142
2014-11-04,8443,112010,4122824,37.0,37.15,36.6,37.1,0.5,84,2014,19.84,1.6,6.68,247.828,0.8924676390992065,5.4,8.14,0.01366120218579235
2014-11-05,8443,377085,14239016,37.3,38.45,37.2,37.6,0.5,259,2014,20.11,1.62,6.68,251.168,0.9044955048552604,5.4,8.14,0.013477088948787061
2014-11-06,8443,195000,7273700,37.6,37.85,36.65,36.65,-0.95,128,2014,19.6,1.58,6.68,244.822,0.8816425599187577,5.4,8.14,-0.025265957446808585
2014-11-07,8443,61000,2255300,37.0,37.2,36.75,36.85,0.2,47,2014,19.71,1.59,6.68,246.158,0.8864537062211795,5.4,8.14,0.005457025920873202
2014-11-10,8443,202430,7347858,36.65,36.8,36.1,36.3,-0.55,135,2014,19.41,1.57,6.68,242.484,0.87322305388952,5.4,8.14,-0.014925373134328474
2014-11-11,8443,134001,4843386,36.5,36.55,35.9,36.0,-0.3,68,2014,19.25,1.56,6.68,240.48,0.8660063344358877,5.4,8.14,-0.008264462809917278
2014-11-12,8443,121000,4287950,36.0,36.0,35.1,35.3,-0.7,89,2014,18.88,1.52,6.68,235.804,0.8491673223774119,5.4,8.14,-0.019444444444444525
2014-11-13,8443,63000,2236950,35.3,35.85,35.3,35.35,0.05,56,2014,18.9,1.4,6.68,236.138,0.8503701089530175,5.4,8.14,0.0014164305949009707
2014-11-14,8443,64020,2260325,35.35,35.5,35.2,35.4,0.05,51,2014,20.82,1.41,6.68,236.472,0.8515728955286229,5.4,8.14,0.001414427157001334
2014-11-17,8443,64086,2255296,35.45,35.5,35.0,35.05,-0.35,55,2014,20.62,1.39,6.68,234.134,0.8431533894993849,5.4,8.14,-0.009887005649717555
2014-11-18,8443,197000,6819150,35.7,35.7,34.1,34.4,-0.65,108,2014,20.24,1.37,6.68,229.792,0.8275171640165148,5.4,8.14,-0.0185449358059914
2014-11-19,8443,97800,3366500,34.4,34.9,34.1,34.9,0.5,86,2014,20.53,1.39,6.68,233.132,0.839545029772569,5.4,8.14,0.014534883720930232
2014-11-20,8443,80423,2796155,35.0,35.25,34.45,34.8,-0.1,71,2014,20.47,1.38,6.68,232.464,0.8371394566213579,5.4,8.14,-0.0028653295128940235
2014-11-21,8443,75070,2634998,35.0,35.4,34.9,34.9,0.1,61,2014,20.53,1.39,6.68,233.132,0.839545029772569,5.4,8.14,0.0028735632183908458
2014-11-24,8443,54537,1899586,35.4,35.4,34.55,34.65,-0.25,52,2014,20.38,1.38,6.68,231.462,0.8335310968945419,5.4,8.14,-0.0071633237822349575
2014-11-25,8443,89004,3065990,34.55,34.9,34.35,34.5,-0.15,63,2014,20.29,1.37,6.68,230.46,0.8299227371677257,5.4,8.14,-0.004329004329004288
2014-11-26,8443,62000,2136900,34.5,34.75,34.35,34.5,0.0,42,2014,20.29,1.37,6.68,230.46,0.8299227371677257,5.4,8.14,0.0
2014-11-27,8443,116573,4008896,34.5,34.6,34.25,34.5,0.0,73,2014,20.29,1.37,6.68,230.46,0.8299227371677257,5.4,8.14,0.0
2014-11-28,8443,50723,1741666,34.3,34.5,34.25,34.35,-0.15,44,2014,20.21,1.36,6.68,229.458,0.8263143774409095,5.4,8.14,-0.00434782608695648
2014-12-01,8443,115050,3930680,34.0,34.4,34.0,34.4,0.05,78,2014,20.24,1.37,6.68,229.792,0.8275171640165148,5.4,8.14,0.0014556040756913292
2014-12-02,8443,309101,11018786,34.7,36.7,34.45,35.8,1.4,250,2014,21.06,1.42,6.68,239.144,0.8866057810445861,5.4,8.14,0.04069767441860461
